"","LiSaintAlexis.txt","LiSaintJerome.txt","LiSaintDialogues.txt","LiSaintBenoit.txt","LiSaintBrice.txt","LiSaintGilles.txt","LiSaintNicolas.txt","LiSaintMartin.txt","LiSaintMarcel.txt"
"a3",2.2381,1.453,9.9253,15.8389,1.4743,3.3944,9.0499,11.2366,7.3195
"lor2",-0.2886,4.0915,1.6076,1.3275,0.3281,-0.6895,17.2421,4.6018,7.0255
"plaisir",-0.2244,-0.1316,-1.0326,-0.6961,-0.075,-0.2408,-1.1385,-0.8289,-0.3665
"et",11.413,2.0444,13.6147,4.4538,2.1861,4.3547,26.8695,20.8777,37.8175
"chois",-0.0268,-0.0157,-0.1234,-0.0832,-0.009,-0.0288,-0.1361,-0.0991,-0.0994
".",-110.1203,-60.7517,-Inf,-303.2426,-40.2042,-111.2562,-Inf,-Inf,-Inf
"abatre",-0.4631,-0.2717,1.5583,0.6247,-0.1549,-0.4969,-1.5413,1.3317,-0.3525
"mangier",0.4188,1.4103,1.92,3.3472,-0.4546,-0.819,-1.6229,0.3151,-0.5514
"il",6.455,9.7699,30.2577,47.4276,6.2625,27.9941,48.9501,36.8658,7.5293
"vëoir",0.4688,0.6933,4.3622,2.7142,0.301,0.3423,-1.3407,1.1768,-1.13
"cui",-0.5545,-0.3253,-2.5514,-1.7201,-0.1854,-0.595,-2.8131,-2.0482,-2.0557
"merveille",-0.6777,-0.3975,-0.8007,0.2761,-0.2266,-0.2997,-0.4865,0.8946,-2.5124
"a3+le",-0.721,-0.7262,-1.0053,-1.5922,-0.5651,0.4214,4.7018,-0.7435,2.9589
"cuer2",-0.7194,-0.5584,-1.9671,-1.714,-0.242,-1.2752,-2.4644,-1.1223,-1.3892
"sëoir",0.5803,-0.1425,1.4153,-0.2769,-0.2581,-0.8282,-3.9158,-0.4419,-2.8615
"le",5.3559,5.1994,1.8245,5.2024,0.8327,4.8009,15.3399,10.1842,5.92
"maistre",-0.6793,0.2215,-1.591,-0.8599,-0.2272,-0.3008,-2.494,-1.6772,0.8834
"qui",-21.3616,-12.5311,-98.2911,-66.2629,-7.1433,-22.921,-108.373,-78.9027,-79.1946
"tant",0.7601,0.4361,0.6083,0.3578,0.3491,1.2995,2.198,1.0099,-1.4427
"bien1",-1.1338,-1.1092,-1.0105,-3.4389,0.3971,-3.8527,-4.9173,-0.4101,-4.1249
"porter",-0.3346,0.4052,-1.4552,-0.3286,-0.5599,-1.0855,0.6189,-0.7905,-0.6225
"dire",2.1132,-0.4894,4.7848,-0.3401,2.6716,-2.3185,-0.4446,-0.7733,4.5598
"que4",0.4034,0.533,24.2725,5.3358,1.6073,1.2828,5.9838,10.7186,1.8148
"arabi",-0.0679,-0.0398,-0.3123,-0.2105,-0.0227,-0.0728,-0.3443,-0.2507,-0.2516
"ne1",-1.647,-1.4495,0.81,-4.2208,-0.72,-4.4688,-18.4916,-2.7547,-13.6388
"savoir",1.4624,1.5366,2.5287,1.4782,1.6915,-0.3368,-0.4793,1.0926,-1.4469
"sustance",-0.0323,-0.0189,-0.1486,-0.1002,-0.0108,-0.0346,-0.1638,-0.1193,-0.1197
"devenir",0.8466,-0.1686,-0.7144,-0.1781,0.7022,1.4537,-0.2441,0.6402,-0.254
"de+le",-1.5289,0.5725,3.8159,-0.8165,-1.0389,0.4201,4.1972,0.4241,2.9942
"cel",2.2747,-1.562,9.9509,5.6076,0.7341,0.4668,9.7614,10.9734,0.8296
"que2",36.9651,17.441,137.7967,90.1097,8.1663,42.0974,202.9185,124.9081,119.8977
"denoiier",-0.0055,-0.0032,1.2492,-0.017,2.3762,-0.0059,-0.0278,-0.0202,-0.0203
"esperitüelment",-0.0082,-0.0048,-0.0378,-0.0255,-0.0027,-0.0088,-0.0417,-0.0303,-0.0304
"user",-0.1549,-0.0909,-0.2901,-0.4805,-0.0518,-0.1662,-0.7858,-0.5721,-0.5743
"par",-1.2147,-0.7563,5.0409,3.7164,1.1053,5.3131,2.6291,6.442,2.6586
"saint",17.9977,13.8172,107.458,181.0318,31.4819,50.1495,150.667,151.2258,161.5763
"espire",-0.0421,-0.0247,-0.1939,-0.1307,-0.0141,-0.0452,-0.2138,-0.1557,-0.1562
"conduire",-0.173,-0.1015,-0.7958,-0.5365,-0.0578,-0.1856,-0.8775,-0.6389,-0.6412
"conduit",-0.0525,-0.0308,-0.2418,-0.163,-0.0176,-0.0564,-0.2666,-0.1941,-0.1948
"mais1",-1.2729,-1.0148,2.4874,-1.2303,-0.5535,-2.1485,-4.355,0.3515,-5.4767
"pöoir",-0.3742,-0.4671,-1.3209,-0.3963,0.2746,-1.5693,-0.8206,-0.6924,-1.6016
"nïent",-0.7155,-0.4197,0.3152,-0.3738,1.7334,0.278,-0.2624,0.3926,1.0463
