fichier	lemme	score
lemma_only/LiSaintGilles.txt	saint	0.415
lemma_only/LiSaintMarcel.txt	saint	0.400
lemma_only/LiSaintMartin.txt	saint	0.395
lemma_only/LiSaintDialogues.txt	saint	0.363
lemma_only/LiSaintBenoit.txt	saint	0.312
lemma_only/LiSaintBrice.txt	saint	0.280
lemma_only/LiSaintNicolas.txt	saint	0.265
lemma_only/LiSaintJerome.txt	asne	0.262
lemma_only/LiSaintAlexis.txt	saint	0.240
lemma_only/LiSaintGilles.txt	oïr	0.236
lemma_only/LiSaintJerome.txt	lïon	0.225
lemma_only/LiSaintGilles.txt	nostre	0.217
lemma_only/LiSaintMarcel.txt	tu	0.209
lemma_only/LiSaintJerome.txt	saint	0.198
lemma_only/LiSaintMarcel.txt	nostre	0.190
lemma_only/LiSaintAlexis.txt	nostre	0.187
lemma_only/LiSaintDialogues.txt	tu	0.186
lemma_only/LiSaintBrice.txt	cant2	0.173
lemma_only/LiSaintBrice.txt	arcevesque	0.169
lemma_only/LiSaintJerome.txt	chamoil	0.166
lemma_only/LiSaintGilles.txt	cerve	0.145
lemma_only/LiSaintJerome.txt	frere	0.140
lemma_only/LiSaintAlexis.txt	emperëor	0.125
lemma_only/LiSaintGilles.txt	oraison	0.125
lemma_only/LiSaintMartin.txt	nostre	0.125
lemma_only/LiSaintDialogues.txt	chose	0.122
lemma_only/LiSaintJerome.txt	nostre	0.119
lemma_only/LiSaintMarcel.txt	pueple	0.113
lemma_only/LiSaintMarcel.txt	duc2	0.108
lemma_only/LiSaintBenoit.txt	frere	0.106
lemma_only/LiSaintAlexis.txt	cité	0.103
lemma_only/LiSaintAlexis.txt	fil2	0.101
lemma_only/LiSaintMarcel.txt	evesque	0.101
lemma_only/LiSaintDialogues.txt	miracle	0.099
lemma_only/LiSaintJerome.txt	pasture1	0.097
lemma_only/LiSaintDialogues.txt	ermite	0.097
lemma_only/LiSaintAlexis.txt	vie1	0.096
lemma_only/LiSaintDialogues.txt	evesque	0.096
lemma_only/LiSaintDialogues.txt	conter	0.096
lemma_only/LiSaintMartin.txt	dïable	0.096
lemma_only/LiSaintDialogues.txt	nostre	0.095
lemma_only/LiSaintNicolas.txt	nostre	0.095
lemma_only/LiSaintJerome.txt	marchëant	0.094
lemma_only/LiSaintMartin.txt	chose	0.093
lemma_only/LiSaintMarcel.txt	dïable	0.093
lemma_only/LiSaintGilles.txt	veredemius	0.092
lemma_only/LiSaintGilles.txt	vie1	0.092
lemma_only/LiSaintGilles.txt	chose	0.091
lemma_only/LiSaintNicolas.txt	cité	0.090
