Nb de leçons divergente entre l'édition et témoin :1818		
Nb de leçons en commun avec C2 :74		
Nb de lieux variants en commun avec C2 :101		
Nb de leçons en commun avec C3 :45		
Nb de lieux variants en commun avec C3 :64		
Nb de leçons en commun avec D :170		
Nb de lieux variants en commun avec D :236		
Nb de leçons en commun avec E2 :208		
Nb de lieux variants en commun avec E2 :295		
Nb de leçons en commun avec G1 :294		
Nb de lieux variants en commun avec G1 :512		
Nb de leçons en commun avec M1 :200		
Nb de lieux variants en commun avec M1 :369		
		
Nb de leçons en commun avec N :230		
Nb de lieux variants en commun avec N :419		
		
ajout		
54		
Pourcentage : 2.9702970297029703		
Nb de leçons en commun avec C2 :3		
Nb de lieux variants en commun avec C2 :5		
		
Nb de leçons en commun avec C3 :1		
Nb de lieux variants en commun avec C3 :2		
		
Nb de leçons en commun avec D :7		
Nb de lieux variants en commun avec D :10		
		
Nb de leçons en commun avec E2 :10		
Nb de lieux variants en commun avec E2 :14		
		
Nb de leçons en commun avec G1 :4		
Nb de lieux variants en commun avec G1 :12		
		
Nb de leçons en commun avec M1 :2		
Nb de lieux variants en commun avec M1 :10		
		
Nb de leçons en commun avec N :3		
Nb de lieux variants en commun avec N :13		
		
Lemme 	leçon	
plus	et plus (F2)	1
l'oneroient	l'amoient et honnouroient (F2)	1
de	q'il mengeroit (F2)	1
peüssent	li peüssent (F2)	1
le	il le (F2)	1
poor	granz paour (F2)	1
a	a la (F2)	1
molt	puis molt (F2 G1 M1 N)	1
a sa mere	a son pere et a sa mere (E2 F2)	1
batirent	le batirent (F2 N)	1
tenz	temps aprés (F2)	1
seinte	molt seinte (F2)	1
serjanz	serjant de liens (F2)	1
estranglez	estranglez et pendus (F2)	1
li	toz les (C2 D E2 F2)	1
gisoit	mort gesoit (F2)	1
la	devant le temple (F2)	1
abatist	abatist du tout (F2)	1
moine	moine qui compaingnon saint Martin estoient (F2)	1
l'aemplist	aemplist l'euvre qu'il avoit conmencie (F2)	1
evesqe	home qi evesques estoit (D F2)	1
foi	la foi (E2 F2)	1
tormentoit	tormentoit molt (F2 M1)	1
fuies	fuie devant lui (F2)	1
cuidoit	cuidoit ja (D E2 F2)	1
greveroient	greveroient il riens (F2)	1
ensamble o	et mena aveques lui (F2)	1
seüst	seüst il (C2 C3 D E2 F2 G1)	1
par ses aguaiz	par ses engins ne par ses agués (E2 F2)	1
avoit	i avoit (F2)	1
Clarus	qui Clarus (F2)	1
compaignie	sa compaignie (F2)	1
ot	li ot (F2)	1
dist	li dist (F2)	1
tres	molt tres (E2 F2)	1
vint	ce vint (C2 D E2 F2 G1)	1
aucuns	a aucun (F2)	1
croire	croire ce (F2)	1
fu	fu au premier (F2)	1
car	et sachiez que (F2)	1
chaleur	chaleur qu'il ne li souvint d'ourer (F2)	1
ala	ala la (F2)	1
pissonniaus	les poissons de ce fleuve (F2)	1
oisel	oisel d'ilec (F2)	1
Il	Et il (F2)	1
disoit	leur disoit (D E2 F2 G1 N)	1
vit	i vit (F2)	1
qe por leson seint cors qi jala estoit gloirefiez. lor sambla		
                  q'il virent gloirejoie parmenable	que que qant il fu mors (F2)	1
clarté	clarté mondaine (F2)	1
com seint Martin	conme saint Martin estoit (F2)	1
l'ame	la sainte ame (F2)	1
ensamble o	et avec (F2)	1
le Signor	notre Seignor Jhesu Crist (F2)	1
et 	et qant (D E2 F2)	1
		
casAbs		
7		
Pourcentage : 0.385038503850385		
