;F2;G1;M1;N1
1;1;2;1;1
2;0;NA;1;1
3;1;NA;1;2
4;1;NA;1;2
5;0;1;1;1
6;0;1;1;1
7;0;1;1;1
8;NA;1;0;1
9;NA;1;2;2
10;3;2;2;1
11;2;1;2;1
12;1;1;1;2
13;0;1;1;1
14;NA;1;2;1
15;1;1;1;2
16;0;1;1;1
17;0;1;1;1
18;0;1;1;1
19;1;1;0;1
20;0;3;1;4
21;0;1;1;1
22;2;1;1;2
23;0;0;1;1
24;0;1;1;1
25;0;1;1;1
26;NA;1;2;2
27;1;1;2;2
28;0;2;1;1
29;0;1;1;1
30;1;0;0;0
31;1;2;2;2
32;0;1;1;1
33;NA;0;1;1
34;NA;1;1;2
35;NA;1;2;1
36;1;2;3;4
37;0;3;1;1
38;1;1;1;2
39;0;1;1;0
40;0;1;1;1
41;2;1;1;1
42;0;1;1;1
43;0;1;1;3
44;2;1;1;1
45;0;1;1;1
46;2;1;1;1
47;1;1;2;1
48;1;1;2;2
49;1;2;1;2
50;1;0;1;0
51;0;1;1;1
52;NA;2;1;1
53;NA;0;1;0
54;1;2;1;1
55;0;NA;1;1
56;1;NA;1;2
57;0;NA;1;0
58;0;NA;1;1
59;0;NA;1;1
60;1;2;1;1
61;1;2;3;4
62;1;0;1;1
63;0;1;1;1
64;0;1;1;1
65;1;1;2;3
66;0;1;1;1
67;0;1;1;1
68;NA;1;1;2
69;NA;2;1;1
70;NA;2;1;1
71;NA;1;2;2
72;NA;0;1;1
73;NA;2;1;1
74;0;1;1;1
75;0;1;1;1
76;0;1;0;0
77;0;1;1;1
78;0;1;1;1
79;2;1;1;1
80;1;1;0;1
81;0;1;0;1
82;0;1;1;1
83;0;1;1;1
84;NA;0;1;1
85;NA;1;1;2
86;NA;2;1;1
87;0;1;1;1
88;1;1;2;2
89;1;0;0;0
90;2;1;1;1
91;1;1;1;2
92;0;3;1;1
93;NA;NA;1;2
94;0;1;1;1
95;1;2;2;2
96;1;2;3;4
97;0;1;1;1
98;NA;2;1;1
99;NA;1;1;0
100;NA;0;1;1
101;NA;1;2;1
102;NA;1;2;3
103;0;1;1;1
104;0;1;1;1
105;0;0;1;1
106;2;1;1;1
107;1;1;1;2
108;0;1;1;1
109;NA;1;2;1
110;0;1;1;1
111;2;1;1;1
112;0;1;1;1
113;NA;1;2;1
114;1;2;2;2
115;1;0;1;1
116;1;1;2;1
117;0;1;NA;1
118;2;1;3;1
119;1;2;1;1
120;2;NA;1;1
121;1;2;1;0
122;0;1;1;1
123;2;1;1;1
124;NA;0;1;3
125;NA;2;1;1
126;2;1;1;1
127;0;2;1;1
128;1;2;1;1
129;0;1;1;3
130;0;1;3;3
131;1;0;0;0
132;1;2;3;4
133;1;2;1;3
134;1;1;1;2
135;1;1;1;2
136;0;1;1;1
137;NA;1;0;1
138;2;2;1;1
139;0;1;1;1
140;1;1;0;1
141;1;0;1;1
142;1;2;3;4
143;1;2;1;1
144;1;1;2;2
145;1;2;1;1
146;2;1;1;1
147;NA;2;2;1
148;1;2;3;3
149;1;2;1;1
150;1;2;1;1
151;2;1;3;3
152;2;1;2;2
153;1;1;1;2
154;0;1;1;1
155;1;2;1;1
156;2;NA;1;1
157;2;NA;1;1
158;1;2;1;1
159;1;0;0;0
160;1;2;1;1
161;0;NA;1;1
162;2;1;1;1
163;1;2;1;1
164;1;2;3;1
165;1;1;2;1
166;1;2;3;1
167;0;1;1;1
168;1;0;0;1
169;0;1;1;1
170;2;1;1;1
171;1;2;1;1
172;1;1;1;2
173;1;1;1;0
174;1;1;2;2
175;1;2;1;1
176;1;1;1;2
177;2;1;1;1
178;NA;1;2;2
179;1;1;0;1
180;1;0;1;1
181;0;1;1;1
182;1;2;3;3
183;1;2;1;1
184;1;1;2;1
185;1;2;1;1
186;1;1;2;1
187;2;1;1;1
188;1;1;1;2
189;1;1;1;2
190;0;1;1;1
191;NA;1;1;2
192;1;2;1;1
193;1;2;2;2
194;1;2;1;1
195;0;1;1;1
196;NA;2;1;1
197;1;2;2;2
198;1;1;1;2
199;2;3;1;1
200;2;1;1;1
201;1;0;1;1
