;C1;C2;C3;D;E2;F2
1;1;1;1;1;1;0
2;1;1;1;1;0;1
3;1;1;1;1;1;0
4;1;1;1;1;1;0
5;1;1;1;1;0;NA
6;1;1;1;1;1;0
7;1;1;1;1;2;1
8;1;1;1;3;1;0
9;1;1;1;2;2;3
10;1;1;1;1;1;2
11;1;1;1;1;1;0
12;1;1;1;1;1;0
13;1;1;1;1;2;1
14;1;1;1;1;1;0
15;1;1;1;1;1;0
16;1;1;1;1;1;0
17;1;1;1;1;1;2
18;1;1;1;1;1;0
19;1;1;1;1;1;0
20;1;1;1;1;1;0
21;1;1;1;1;2;NA
22;1;1;1;1;2;NA
23;1;1;2;1;2;NA
24;1;1;1;1;0;0
25;1;1;1;1;1;0
26;1;1;1;1;1;0
27;1;1;1;1;1;0
28;1;1;1;1;1;2
29;1;1;1;1;1;0
30;1;1;1;1;1;2
31;1;1;1;1;1;0
32;1;1;1;1;1;2
33;1;1;1;1;2;1
34;1;1;1;1;2;1
35;1;1;1;1;1;0
36;1;1;1;1;0;NA
37;1;1;1;1;0;NA
38;1;1;1;1;1;0
39;1;1;1;0;0;0
40;1;1;1;2;1;1
41;1;1;1;1;1;0
42;1;1;1;1;1;0
43;1;1;1;1;1;0
44;1;1;1;1;0;1
45;1;0;1;0;0;0
46;1;1;1;1;1;0
47;1;1;1;1;1;0
48;1;1;1;2;2;NA
49;1;1;1;1;1;0
50;1;1;1;1;0;1
51;1;1;1;1;1;0
52;1;1;1;1;2;NA
53;1;1;1;1;0;NA
54;1;1;1;1;0;NA
55;1;1;1;1;1;0
56;1;1;1;0;1;0
57;1;1;1;1;1;2
58;1;1;1;1;1;0
59;1;1;1;1;1;0
60;1;1;1;1;1;0
61;1;1;1;1;1;0
62;1;1;1;2;3;NA
63;1;1;1;1;1;2
64;1;1;1;1;1;0
65;1;1;1;1;1;0
66;1;1;1;1;1;0
67;1;1;1;1;0;NA
68;1;1;1;1;0;NA
69;1;1;1;1;1;0
70;1;1;1;1;1;2
71;1;1;1;1;1;0
72;1;1;1;1;1;0
73;1;0;1;0;0;NA
74;1;1;1;1;1;0
75;1;0;1;0;0;0
76;1;1;1;1;1;0
77;1;1;1;1;1;2
78;1;1;1;2;1;1
79;1;1;1;1;1;0
80;1;1;1;1;1;0
81;1;1;2;1;2;2
82;1;1;1;1;1;0
83;1;1;1;1;2;2
84;1;1;1;1;1;0
85;1;1;1;1;1;2
86;1;1;1;1;1;0
87;1;1;1;1;1;2
88;1;1;1;1;1;2
89;1;1;1;2;2;0
90;1;1;1;1;2;1
91;1;1;1;0;1;1
92;1;1;1;2;3;0
93;1;1;1;1;1;0
94;1;1;1;1;1;2
95;1;1;1;1;1;0
96;1;1;1;2;1;1
97;1;1;1;1;2;0
98;1;1;1;1;1;2
99;1;2;1;1;1;1
100;1;1;1;1;1;2
101;1;1;1;1;1;0
102;1;1;1;1;0;NA
103;1;1;1;1;1;2
104;1;1;1;1;1;2
105;1;1;1;1;1;0
106;1;0;1;0;0;0
107;1;1;1;2;2;2
108;1;1;1;1;0;1
109;1;1;1;1;2;1
110;1;1;1;1;1;0
111;1;1;1;1;1;0
112;1;1;1;1;1;2
113;1;1;1;1;1;2
114;1;1;1;1;2;NA
115;1;1;1;1;1;0
116;1;1;1;1;2;1
117;1;1;1;1;1;2
118;1;1;1;1;1;0
119;1;1;1;1;1;0
120;1;1;1;0;1;1
121;1;1;1;1;1;2
122;1;1;1;2;1;1
123;1;1;1;2;1;1
124;1;1;1;1;1;2
125;1;1;1;1;0;1
126;1;1;1;1;1;0
127;1;1;1;1;0;NA
128;1;1;1;1;1;0
129;1;1;1;1;2;1
130;1;1;1;1;1;0
131;1;1;1;1;1;0
132;1;2;1;1;1;NA
133;1;1;1;1;1;0
134;1;2;1;NA;NA;NA
135;1;1;1;1;0;1
136;1;1;1;1;1;0
137;1;1;1;1;1;2
138;1;1;1;2;2;2
139;1;1;1;1;0;1
140;1;1;1;1;1;0
141;1;1;1;1;1;0
142;1;1;1;1;1;0
143;1;1;1;1;2;1
144;1;1;1;1;1;0
145;1;1;1;1;0;0
146;1;1;1;1;1;0
147;1;1;1;1;0;1
148;1;1;1;1;0;0
149;1;2;1;2;3;1
150;1;1;1;1;1;2
151;1;1;NA;NA;0;1
152;1;1;2;1;1;1
153;1;1;1;1;1;0
154;1;1;1;1;1;0
155;1;1;1;1;1;0
156;1;1;1;1;1;2
157;1;1;1;1;1;0
158;1;1;1;1;1;0
159;1;1;1;1;1;2
160;1;1;1;1;1;0
161;1;1;1;0;1;1
162;1;1;1;1;1;2
163;1;1;1;2;2;NA
164;1;1;1;1;1;0
165;1;1;1;2;1;NA
166;1;1;1;1;1;0
167;1;1;1;1;2;3
168;1;1;1;1;2;1
169;1;1;1;1;1;2
170;1;1;1;1;1;0
171;1;1;1;2;1;2
172;1;1;1;2;1;1
173;1;1;1;NA;NA;2
174;1;1;1;0;1;1
175;1;1;1;0;1;0
176;1;0;1;0;0;0
177;1;0;1;0;0;1
178;1;NA;1;NA;NA;0
179;1;NA;1;NA;NA;2
180;1;NA;1;NA;NA;0
181;1;NA;2;NA;NA;NA
182;1;1;1;1;1;2
183;1;1;1;1;1;2
184;1;1;1;1;1;0
185;1;1;1;1;1;0
186;1;1;1;1;1;2
187;1;1;1;1;1;0
188;1;1;1;1;1;2
189;1;1;1;1;1;2
190;1;2;2;2;2;2
191;1;1;1;1;1;2
192;1;1;1;1;1;2
193;1;0;0;0;1;3
194;1;1;0;1;1;1
195;1;1;1;1;1;0
196;1;1;1;2;1;1
197;2;1;1;1;1;1
198;1;1;1;1;1;0
199;1;1;1;1;2;3
200;1;1;1;2;3;3
201;1;1;1;1;1;2
202;1;1;1;1;1;0
203;1;1;1;1;1;0
204;1;1;1;1;1;0
205;1;0;1;0;0;0
206;1;2;1;1;1;1
207;1;1;1;1;1;0
208;1;1;1;1;0;0
209;1;1;1;1;1;0
210;1;1;1;1;1;2
211;1;1;1;2;1;3
212;1;1;1;1;1;2
213;1;1;1;1;1;0
214;1;1;1;2;2;1
215;1;1;1;1;1;0
216;1;1;1;1;0;1
217;1;1;1;1;1;0
218;1;1;1;1;1;2
219;1;1;1;1;1;0
220;1;1;1;1;1;0
221;1;1;1;1;1;0
222;1;1;1;1;1;0
223;1;1;1;1;2;1
224;1;1;1;1;1;2
225;1;1;1;1;1;0
