;C1;D;E2;F2;G1;M1;N1
1;1;1;1;1;2;1;1
2;1;1;1;0;NA;1;1
3;1;1;1;1;NA;1;2
4;1;1;1;1;NA;1;2
5;1;1;0;1;NA;1;1
6;1;1;1;0;1;1;1
7;1;1;1;0;1;1;1
8;1;1;0;NA;1;1;1
9;3;1;0;1;4;5;6
10;1;1;1;0;1;1;1
11;1;1;1;NA;1;0;1
12;1;1;1;NA;1;2;2
13;1;1;2;1;1;1;1
14;1;3;1;0;1;1;1
15;1;2;2;3;2;2;1
16;1;1;1;2;1;2;1
17;1;1;1;1;1;1;2
18;1;1;1;0;1;1;1
19;1;1;1;NA;1;2;1
20;1;1;1;1;1;1;2
21;1;1;1;0;1;1;1
22;1;1;2;1;1;1;1
23;1;1;1;0;1;1;1
24;1;1;1;0;1;1;1
25;1;1;1;1;1;0;1
26;1;1;1;0;3;1;4
27;1;1;1;0;1;1;1
28;1;1;1;2;1;1;2
29;1;1;1;0;0;1;1
30;1;1;1;0;1;1;1
31;1;1;1;0;1;1;1
32;1;1;1;NA;1;2;2
33;1;1;2;NA;1;1;1
34;1;1;2;NA;1;1;1
35;1;1;2;NA;0;4;4
36;1;1;2;NA;2;2;2
37;1;1;1;NA;2;2;2
38;1;1;1;1;1;2;2
39;1;1;1;0;2;1;1
40;1;1;1;NA;NA;2;2
41;1;1;0;0;1;1;1
42;1;1;1;1;0;0;0
43;1;1;1;1;2;2;2
44;1;1;1;0;1;1;1
45;1;1;1;NA;0;1;1
46;1;1;1;NA;1;1;2
47;1;1;1;NA;1;2;1
48;1;1;1;1;2;3;4
49;1;1;1;0;3;1;1
50;1;2;4;3;5;1;2
51;1;1;1;1;1;1;2
52;1;1;1;0;1;1;0
53;1;1;1;0;1;1;1
54;1;1;1;2;1;1;1
55;1;1;1;0;1;1;1
56;1;1;1;0;1;1;3
57;1;1;1;2;1;1;1
58;1;1;1;0;1;1;1
59;1;1;1;2;1;1;1
60;1;1;1;1;1;2;1
61;1;1;1;1;1;2;2
62;1;1;2;1;2;1;2
63;1;1;1;1;0;1;0
64;1;1;2;1;1;1;1
65;1;1;1;0;1;1;1
66;1;1;1;NA;2;1;1
67;1;1;1;NA;2;3;3
68;1;1;0;NA;NA;NA;NA
69;1;1;0;NA;0;1;0
70;1;1;1;1;2;1;1
71;1;1;1;0;NA;1;1
72;1;1;1;1;NA;1;2
73;1;0;0;0;NA;1;0
74;1;2;1;1;NA;1;1
75;1;1;1;0;NA;1;1
76;1;1;1;0;NA;1;1
77;1;1;1;0;NA;3;3
78;1;1;1;0;0;0;0
79;1;1;0;1;1;1;1
80;1;1;1;1;2;1;1
81;1;0;0;0;0;0;0
82;1;1;1;1;2;3;4
83;1;1;1;1;0;1;1
84;1;1;1;0;1;1;1
85;1;1;1;0;1;1;1
86;1;2;2;NA;1;1;1
87;1;1;1;1;1;2;3
88;1;1;1;0;1;1;1
89;1;1;0;1;1;1;1
90;1;1;1;0;1;1;1
91;1;1;1;NA;1;1;2
92;1;1;1;NA;2;1;1
93;1;1;1;NA;2;1;1
94;1;1;1;NA;1;2;2
95;1;1;1;NA;0;1;1
96;1;1;1;NA;2;2;2
97;1;1;1;NA;2;3;4
98;1;1;2;NA;NA;NA;NA
99;1;1;1;NA;0;0;0
100;1;1;0;NA;NA;NA;NA
101;1;1;1;NA;2;1;1
102;1;1;0;NA;NA;1;1
103;1;1;1;NA;NA;2;2
104;1;1;1;0;1;1;1
105;1;0;1;0;0;0;0
106;1;1;1;2;2;2;2
107;1;1;1;0;1;1;1
108;1;1;2;NA;3;1;1
109;1;1;1;0;1;0;0
110;1;1;1;0;1;1;1
111;1;1;1;0;1;1;1
112;1;1;1;NA;2;2;2
113;1;2;3;NA;1;1;1
114;1;1;1;2;0;0;0
115;1;1;1;2;1;1;1
116;1;1;1;1;1;0;1
117;1;1;1;0;1;0;1
118;1;1;1;0;1;1;1
119;1;1;1;NA;2;3;3
120;1;1;1;0;1;1;1
121;1;1;0;NA;0;1;1
122;1;1;2;NA;1;0;1
123;1;1;0;NA;1;1;1
124;1;1;1;NA;1;1;2
125;1;1;1;NA;2;1;1
126;1;1;1;0;1;1;1
127;1;1;1;2;3;3;3
128;1;1;1;1;1;2;2
129;1;1;1;1;0;0;0
130;1;1;1;2;1;1;1
131;1;1;1;1;1;1;2
132;1;1;1;0;3;1;1
133;1;1;1;NA;NA;1;2
134;1;1;1;0;1;1;1
135;1;1;1;1;2;2;2
136;1;1;1;1;2;3;4
137;1;1;1;0;1;1;1
138;1;1;1;NA;2;1;1
139;1;1;1;NA;1;1;0
140;1;1;1;NA;0;1;1
141;1;1;1;NA;0;0;0
142;1;1;1;NA;1;2;1
143;1;0;0;NA;0;NA;0
144;1;1;1;NA;1;2;3
145;1;1;1;NA;0;0;0
146;1;1;1;0;1;1;1
147;1;0;0;0;1;1;1
148;1;1;1;0;0;1;1
149;1;1;1;2;1;1;1
150;1;1;1;1;1;1;2
151;1;2;1;1;1;1;1
152;1;1;1;0;1;1;1
153;1;1;1;NA;1;2;1
154;1;1;1;0;1;1;1
155;1;1;2;2;1;1;1
156;1;1;1;0;1;1;1
157;1;1;1;NA;1;2;1
158;1;1;2;2;2;2;2
159;1;1;1;1;2;2;2
160;1;1;1;1;0;1;1
161;1;1;1;1;1;2;1
162;1;1;1;0;1;NA;1
163;1;1;1;2;1;3;1
164;1;1;1;1;2;1;1
165;1;1;1;2;NA;1;1
166;1;1;1;1;2;1;0
167;1;1;1;0;1;1;1
168;1;1;1;2;1;1;1
169;1;1;1;NA;0;1;3
170;1;1;1;NA;2;1;1
171;1;1;1;2;1;1;1
172;1;2;2;0;2;1;1
173;1;1;1;1;2;1;1
174;1;1;1;0;1;1;3
175;1;1;1;0;1;3;3
176;1;1;1;1;0;0;0
177;1;1;2;1;NA;NA;NA
178;1;0;1;1;1;1;1
179;1;1;1;1;2;3;4
180;1;1;1;1;2;1;3
181;1;2;3;0;2;1;1
182;1;1;1;1;1;1;2
183;1;1;1;1;1;1;2
184;1;1;1;0;1;1;1
185;1;1;1;NA;1;0;1
186;1;1;1;2;2;1;1
187;1;1;1;0;1;1;1
188;1;1;1;1;1;0;1
189;1;1;1;1;0;1;1
190;1;1;1;1;2;3;4
191;1;2;1;1;2;1;1
192;1;1;1;1;1;2;2
193;1;1;1;1;2;1;1
194;1;1;2;0;0;2;2
195;1;1;1;2;1;1;1
196;1;1;1;NA;2;2;1
197;1;1;1;1;2;3;3
198;1;1;1;1;2;1;1
199;1;1;1;1;2;1;1
200;1;1;1;2;1;3;3
201;1;1;1;2;1;2;2
202;1;1;1;1;1;1;2
203;1;1;1;0;1;1;1
204;1;1;0;NA;1;1;1
205;1;1;1;1;2;1;1
206;1;1;1;2;NA;1;1
207;1;1;1;2;NA;1;1
208;1;1;1;1;2;1;1
209;1;1;1;1;0;0;0
210;1;1;1;1;2;1;1
211;1;1;1;0;NA;1;1
212;1;1;1;NA;NA;2;2
213;1;0;0;0;0;0;0
214;1;2;2;2;1;1;1
215;1;1;1;1;2;1;1
216;1;1;1;1;2;3;1
217;1;1;2;1;3;4;4
218;1;1;1;1;1;2;1
219;1;1;0;1;1;1;1
220;1;1;2;1;1;1;1
221;1;1;1;1;2;3;1
222;1;1;1;0;1;1;1
223;1;1;1;1;0;0;1
224;1;1;1;0;1;1;1
225;1;1;1;2;1;1;1
226;1;1;1;1;2;1;1
227;1;1;1;1;1;1;2
228;1;1;1;1;1;1;0
229;1;1;1;1;1;2;2
230;1;1;1;1;2;1;1
231;1;1;1;1;1;1;2
232;1;1;1;2;1;1;1
233;1;1;1;NA;1;2;2
234;1;1;2;NA;1;NA;NA
235;1;1;1;1;1;0;1
236;1;1;1;1;0;1;1
237;1;1;1;0;1;1;1
238;1;1;1;1;2;3;3
239;1;1;1;1;2;1;1
240;1;1;1;1;1;2;1
241;1;1;1;1;2;1;1
242;1;1;2;1;1;1;1
243;1;1;1;1;1;2;1
244;1;1;1;2;1;1;1
245;1;1;1;1;1;1;2
246;1;1;1;1;1;1;2
247;1;1;1;0;1;1;1
248;1;1;1;NA;1;1;2
249;1;1;1;1;2;1;1
250;1;1;1;1;2;2;2
251;1;1;1;1;2;1;1
252;1;1;1;0;1;1;1
253;1;1;1;NA;2;1;1
254;1;1;1;1;2;2;2
255;1;0;1;1;1;1;1
256;1;1;1;2;2;2;2
257;1;1;1;2;0;4;4
258;1;1;1;1;1;1;2
259;1;2;1;1;1;1;1
260;1;2;3;3;4;1;1
261;1;2;1;1;1;1;1
262;1;1;1;2;3;1;1
263;1;1;1;2;1;1;1
264;1;1;0;1;0;1;1
265;1;1;1;0;1;1;1
266;1;1;0;NA;0;1;1
267;1;2;2;2;1;2;3
268;1;1;1;1;1;0;0
