;C1;C2;C3;D;E2;F2;G1;M1;N1
1;1;2;3;4;5;0;0;7;0
2;1;1;1;1;1;1;2;1;1
3;1;1;1;1;1;0;NA;1;1
4;1;1;1;1;1;1;NA;1;2
5;1;1;1;1;1;1;NA;1;2
6;1;1;1;1;0;1;NA;1;1
7;1;1;1;1;1;0;1;1;1
8;1;1;1;1;1;0;1;1;1
9;1;1;1;1;0;NA;1;1;1
10;3;1;1;1;0;1;4;5;6
11;1;1;1;1;1;0;1;1;1
12;1;1;1;1;1;NA;1;0;1
13;1;1;1;1;1;NA;1;2;2
14;1;1;1;1;2;1;1;1;1
15;1;1;1;3;1;0;1;1;1
16;1;1;1;2;2;3;2;2;1
17;1;1;1;1;1;2;1;2;1
18;1;1;1;1;1;1;1;1;2
19;1;1;1;1;1;0;1;1;1
20;1;1;1;1;1;NA;1;2;1
21;1;1;1;1;1;1;1;1;2
22;1;1;1;1;1;0;1;1;1
23;1;1;1;1;2;1;1;1;1
24;1;1;1;1;1;0;1;1;1
25;1;1;1;1;1;0;1;1;1
26;1;1;1;1;1;1;1;0;1
27;1;1;1;1;1;0;3;1;4
28;1;1;1;1;1;0;1;1;1
29;1;1;1;1;1;2;1;1;2
30;1;1;1;1;1;0;0;1;1
31;1;1;1;1;1;0;1;1;1
32;1;1;1;1;1;0;1;1;1
33;1;1;1;1;1;NA;1;2;2
34;1;1;1;1;2;NA;1;1;1
35;1;1;1;1;2;NA;1;1;1
36;1;1;1;1;2;NA;0;4;4
37;1;1;2;1;2;NA;2;2;2
38;1;1;1;1;1;NA;2;2;2
39;1;1;1;1;1;1;1;2;2
40;1;1;1;1;1;0;2;1;1
41;1;1;1;1;1;NA;NA;2;2
42;1;1;1;1;0;0;1;1;1
43;1;1;1;1;1;1;0;0;0
44;1;1;1;1;1;1;2;2;2
45;1;1;1;1;1;0;1;1;1
46;1;1;1;1;1;NA;0;1;1
47;1;1;1;1;1;NA;1;1;2
48;1;1;1;1;1;NA;1;2;1
49;1;1;1;1;1;1;2;3;4
50;1;1;1;1;1;0;3;1;1
51;1;1;1;2;4;3;5;1;2
52;1;1;1;1;1;1;1;1;2
53;1;1;1;1;1;0;1;1;0
54;1;1;1;1;1;0;1;1;1
55;1;1;1;1;1;2;1;1;1
56;1;1;1;1;1;0;1;1;1
57;1;1;1;1;1;0;1;1;3
58;1;1;1;1;1;2;1;1;1
59;1;1;1;1;1;0;1;1;1
60;1;1;1;1;1;2;1;1;1
61;1;1;1;1;1;1;1;2;1
62;1;1;1;1;1;1;1;2;2
63;1;1;1;1;2;1;2;1;2
64;1;1;1;1;1;1;0;1;0
65;1;1;1;1;2;1;1;1;1
66;1;1;1;1;1;0;1;1;1
67;1;1;1;1;1;NA;2;1;1
68;1;1;1;1;1;NA;2;3;3
69;1;1;1;1;0;NA;NA;NA;NA
70;1;1;1;1;0;NA;0;1;0
71;1;1;1;1;1;1;2;1;1
72;1;1;1;1;1;0;NA;1;1
73;1;1;1;1;1;1;NA;1;2
74;1;1;1;0;0;0;NA;1;0
75;1;1;1;2;1;1;NA;1;1
76;1;1;1;1;1;0;NA;1;1
77;1;1;1;1;1;0;NA;1;1
78;1;1;1;1;1;0;NA;3;3
79;1;1;1;1;1;0;0;0;0
80;1;1;1;1;0;1;1;1;1
81;1;1;1;1;1;1;2;1;1
82;1;0;1;0;0;0;0;0;0
83;1;1;1;1;1;1;2;3;4
84;1;1;1;1;1;1;0;1;1
85;1;1;1;1;1;0;1;1;1
86;1;1;1;1;1;0;1;1;1
87;1;1;1;2;2;NA;1;1;1
88;1;1;1;1;1;1;1;2;3
89;1;1;1;1;1;0;1;1;1
90;1;1;1;1;0;1;1;1;1
91;1;1;1;1;1;0;1;1;1
92;1;1;1;1;1;NA;1;1;2
93;1;1;1;1;1;NA;2;1;1
94;1;1;1;1;1;NA;2;1;1
95;1;1;1;1;1;NA;1;2;2
96;1;1;1;1;1;NA;0;1;1
97;1;1;1;1;1;NA;2;2;2
98;1;1;1;1;1;NA;2;3;4
99;1;1;1;1;2;NA;NA;NA;NA
100;1;1;1;1;1;NA;0;0;0
101;1;1;1;1;0;NA;NA;NA;NA
