
§63 L'article défini

cas	masc	fém
CSS	li (99% - nb: 973), le (0% - nb: 2), l (0% - nb: 4)	l (12% - nb: 31), la (88% - nb: 227)
CRS	le (67% - nb: 524), l (33% - nb: 254), el (0% - nb: 1)	la (79% - nb: 1170), l (20% - nb: 300), le (0% - nb: 5)
CSP	li (100% - nb: 296)	les (100% - nb: 18)
CRP	les (100% - nb: 270), lez (0% - nb: 1)	les (100% - nb: 257)

§63 L'article indéfini

cas	masc	fém
CSS	uns (96% - nb: 97), un (4% - nb: 4)	une (100% - nb: 27)
CRS	un (100% - nb: 305)	une (100% - nb: 224)
CSP		unes (100% - nb: 3)
CRP	uns (100% - nb: 1)	unes (100% - nb: 1)
§63 L'article demonstratif

ce
cas	masc	fém
CSS	cest (7% - nb: 3), cil (64% - nb: 27), cis (24% - nb: 10), cist (2% - nb: 1), celui (2% - nb: 1)	cele (51% - nb: 18), ceste (49% - nb: 17)
CRS	cest (43% - nb: 87), cel (42% - nb: 84), celui (1% - nb: 3), ce (12% - nb: 24), icel (0% - nb: 1), cestui (0% - nb: 1), ice (0% - nb: 1)	ceste (56% - nb: 140), cele (40% - nb: 100), cest (2% - nb: 4), icele (1% - nb: 3), cel (1% - nb: 2)
CSP	ces (100% - nb: 1)	cez (80% - nb: 4), ces (20% - nb: 1)
CRP	cez (26% - nb: 8), ceus (52% - nb: 16), ces (23% - nb: 7)	ces (38% - nb: 18), cez (55% - nb: 26), icez (2% - nb: 1), ices (2% - nb: 1), celes (2% - nb: 1)


§63 L'article possessif

Possesseur unique

1ere personne 
cas	masc	fém
CSS	mes (92% - nb: 12), mon (8% - nb: 1)	ma (67% - nb: 2), m (33% - nb: 1)
CRS	mes (3% - nb: 1), mon (97% - nb: 31)	ma (80% - nb: 28), mes (3% - nb: 1), m (17% - nb: 6)
CSP	mi (75% - nb: 3), mes (25% - nb: 1)	mes (100% - nb: 3)
CRP	mes (100% - nb: 11)	mes (100% - nb: 4)
2ere personne
cas	masc	fém
CSS	tes (100% - nb: 7)	ta (71% - nb: 5), t (29% - nb: 2)
CRS	ton (93% - nb: 28), t (3% - nb: 1), tes (3% - nb: 1)	ta (90% - nb: 38), t (5% - nb: 2), tes (5% - nb: 2)
CSP	ti (75% - nb: 3), tes (25% - nb: 1)	tes (100% - nb: 1)
CRP	tes (92% - nb: 11), tez (8% - nb: 1)	tes (100% - nb: 7)

3e personne
cas	masc	fém
CSS	ses (92% - nb: 33), son (6% - nb: 2), ses﻿ (3% - nb: 1)	sa (88% - nb: 21), s (13% - nb: 3)
CRS	son (97% - nb: 234), lor (0% - nb: 1), ses (2% - nb: 5), s (0% - nb: 1)	s (16% - nb: 74), sa (84% - nb: 392), son (0% - nb: 1)
CSP	si (92% - nb: 24), ses (8% - nb: 2)	si (20% - nb: 1), ses (80% - nb: 4)
CRP	ses (100% - nb: 171)	ses (98% - nb: 124), ﻿ses (1% - nb: 1), s (1% - nb: 1)

Possesseur multiple1ere personne 
cas	masc	fém
CSS	nostre (98% - nb: 102), nos (2% - nb: 2)	nostre (100% - nb: 2)
CRS	nostre (99% - nb: 299), nos (0% - nb: 1), nostres (0% - nb: 1)	nostre (90% - nb: 9), noz (10% - nb: 1)
CSP	noz (33% - nb: 2), nos (67% - nb: 4)	nos (100% - nb: 1)
CRP	mes (85% - nb: 11), nostre (15% - nb: 2), nos (85% - nb: 11)	mes (44% - nb: 4), noz (22% - nb: 2), nos (78% - nb: 7)

§63 L'article possessif

2ere personne
cas	masc	fém
CSS	vostre (100% - nb: 3)	
CRS	vostre (100% - nb: 2)	vostre (100% - nb: 3)
CSP	vos (100% - nb: 1)	
CRP	vos (40% - nb: 2), voz (20% - nb: 1), vostre (40% - nb: 2)	vos (80% - nb: 4), voz (20% - nb: 1)

3e personne
cas	masc	fém
CSS	lor (100% - nb: 15)	lor (100% - nb: 4)
CRS	lor (100% - nb: 25)	lor (96% - nb: 24), leur (4% - nb: 1)
CSP	lor (100% - nb: 6)	leur (100% - nb: 1)
CRP	lor (98% - nb: 56), leur (2% - nb: 1)	lor (99% - nb: 149), leur (1% - nb: 2)

