
Les pronoms personnels


si+il nb.2
cas	masc	fém	neutre
CSS			
CRS	sel (nb. 1, 100%)		sel (nb. 1, 100%)
CIS		
CSP			
CRP			
CIP			

ne1+il nb.10
cas	masc	fém	neutre
CSS			
CRS	nel (nb. 1, 100%)		nel (nb. 3, 100%)
CIS		
CSP			
CRP	nes (nb. 2, 200%)	nes (nb. 4, 100%)	
CIP			

de+il nb.1
cas	masc	fém	neutre
CSS			
CRS	del (nb. 1, 100%)		
CIS		
CSP			
CRP			
CIP			

a3+il nb.1
cas	masc	fém	neutre
CSS			
CRS	au (nb. 1, 100%)		
CIS		
CSP			
CRP			
CIP			

je+le nb.1
cas	masc	fém	neutre
CSS	jes (nb. 1, 100%)		
CRS			
CIS		
CSP			
CRP			
CIP			

nos1 nb.348
cas	masc	fém	neutre
CSS			
CRS			
CIS		
CSP	nus (nb. 1, 1%), nous (nb. 7, 4%), nos (nb. 156, 95%)		
CRP	nos (nb. 40, 100%)	nos (nb. 1, 100%)	
CIP	noz (nb. 2, 1%), nous (nb. 15, 11%), nos (nb. 125, 88%)	nos (nb. 1, 100%)	

nostre nb.1
cas	masc	fém	neutre
CSS			
CRS			
CIS		
CSP	nos (nb. 1, 100%)		
CRP			
CIP			

je nb.711
cas	masc	fém	neutre
CSS	moi (nb. 1, 0%), j (nb. 15, 3%), Je (nb. 473, 97%)	je (nb. 16, 100%)	
CRS	moi (nb. 1, 1%), m (nb. 34, 33%), me (nb. 67, 66%)	moi (nb. 2, 40%), me (nb. 3, 60%)	
CIS	m (nb. 13, 13%), me (nb. 41, 42%), moi (nb. 43, 44%)	moi (nb. 2, 100%)	
CSP			
CRP			
CIP			

vos nb.331
cas	masc	fém	neutre
CSS	Vouz (nb. 1, 20%), vos (nb. 4, 80%)	vos (nb. 4, 100%)	
CRS			
CIS	vos (nb. 1, 100%)	
CSP	vous (nb. 10, 8%), voz (nb. 14, 11%), vos (nb. 104, 81%)	vos (nb. 2, 100%)	
CRP	voz (nb. 6, 25%), vous (nb. 6, 25%), vos (nb. 12, 50%)		
CIP	voz (nb. 4, 2%), vous (nb. 13, 8%), vos (nb. 149, 90%)	vos (nb. 1, 100%)	

tu nb.427
cas	masc	fém	neutre
CSS	tu (nb. 250, 100%)	tu (nb. 3, 100%)	
CRS	toi (nb. 1, 1%), t (nb. 27, 30%), te (nb. 62, 69%)	t (nb. 1, 25%), te (nb. 3, 75%)	
CIS	t (nb. 2, 3%), te (nb. 33, 42%), toi (nb. 44, 56%)	te (nb. 1, 100%)	
CSP			
CRP			
CIP			

soi1 nb.678
cas	masc	fém	neutre
CSS			
CRS	sei (nb. 2, 0%), s (nb. 194, 42%), se (nb. 270, 58%)	se (nb. 11, 32%), s (nb. 23, 68%)	
CIS	soi (nb. 3, 100%)	
CSP			
CRP	se (nb. 74, 43%), s (nb. 97, 57%)	se (nb. 1, 25%), s (nb. 3, 75%)	
CIP			

le nb.2
cas	masc	fém	neutre
CSS			
CRS	li (nb. 1, 100%)	le (nb. 1, 100%)	
CIS		
CSP			
CRP			
CIP			

il nb.5078
cas	masc	fém	neutre
CSS	li (nb. 1, 0%), il (nb. 2055, 100%)	eles (nb. 1, 1%), euz (nb. 1, 1%), elle (nb. 25, 13%), ele (nb. 168, 86%)	il (nb. 15, 750%)
CRS	li (nb. 2, 0%), la (nb. 2, 0%), lui (nb. 4, 1%), l (nb. 203, 34%), le (nb. 380, 64%)	elles (nb. 1, 1%), li (nb. 1, 1%), le (nb. 6, 7%), l (nb. 23, 26%), la (nb. 56, 64%)	l (nb. 11, 22%), le (nb. 40, 78%)
CIS	lor (nb. 2, 0%), l (nb. 5, 1%), lui (nb. 362, 36%), li (nb. 625, 63%)	le (nb. 1, 3%), 	lui (nb. 1, 3%), 	li (nb. 30, 94%)	
CSP	li (nb. 1, 0%), eus (nb. 2, 0%), il (nb. 564, 99%)	elles (nb. 4, 10%), eles (nb. 35, 90%)	
CRP	euz (nb. 1, 1%), eles (nb. 1, 1%), lor (nb. 3, 2%), les (nb. 138, 97%)	lor (nb. 2, 6%), les (nb. 29, 94%)	
CIP	euz (nb. 2, 1%), els (nb. 4, 2%), li (nb. 5, 2%), leur (nb. 6, 2%), eus (nb. 82, 31%), lor (nb. 167, 63%)	elles (nb. 1, 9%), leur (nb. 1, 9%), eles (nb. 4, 36%), lor (nb. 5, 45%)	

qui+il nb.2
cas	masc	fém	neutre
CSS	qil (nb. 1, 100%)		
CRS			
CIS		
CSP			
CRP	ques (nb. 1, 100%)		
CIP			


Les pronoms demonstratifs


ce2 nb.2
cas	masc	fém	neutre
CSS			
CRS			
CIS			
CSP		cez (nb. 2, 100%)	
CRP			
CIP			

cel nb.446
cas	masc	fém	neutre
CSS	Celui (nb. 5, 4%), cil (nb. 121, 96%)	cele (nb. 7, 100%)	cil (nb. 1, 100%)
CRS	cel (nb. 1, 4%), celui (nb. 22, 96%)	celes (nb. 1, 8%), cele (nb. 12, 92%)	
CIS	celui (nb. 43, 100%)		
CSP	Ceus (nb. 1, 1%), cil (nb. 136, 99%)	cil (nb. 1, 25%), celes (nb. 3, 75%)	
CRP	cil (nb. 1, 1%), cels (nb. 24, 28%), ceus (nb. 61, 71%)	celes (nb. 4, 100%)	
CIP	Celui (nb. 1, 50%), ceus (nb. 1, 50%)		

ice2 nb.1
cas	masc	fém	neutre
CSS			
CRS		ice (nb. 1, 100%)	
CIS			
CSP			
CRP			
CIP			

le nb.1
cas	masc	fém	neutre
CSS			
CRS		la (nb. 1, 100%)	
CIS			
CSP			
CRP			
CIP			

cest nb.10
cas	masc	fém	neutre
CSS	cis (nb. 1, 33%), cist (nb. 2, 67%)		
CRS	cestui (nb. 2, 100%)		
CIS	cestuy (nb. 1, 33%), cestui (nb. 2, 67%)		
CSP	Cist (nb. 2, 100%)		
CRP			
CIP			

ce1 nb.822
cas	masc	fém	neutre
CSS			C (nb. 9, 6%), Ce (nb. 151, 94%)
CRS	ce (nb. 1, 100%)		çou (nb. 1, 0%), ce (nb. 660, 100%)
CIS			
CSP			
CRP			
CIP			

ça nb.1
cas	masc	fém	neutre
CSS			
CRS			ça (nb. 1, 100%)
CIS			
CSP			
CRP			
CIP			

ice1 nb.7
cas	masc	fém	neutre
CSS			
CRS			ice (nb. 7, 100%)
CIS			
CSP			
CRP			
CIP			

Les pronoms possessifs


nostre nb.2
cas	masc	fém	neutre
CSS	nostres (nb. 1, 100%)		
CRS	nostre (nb. 1, 100%)		
CIS		
CSP			
CRP			
CIP			

tuen nb.2
cas	masc	fém	neutre
CSS	tien (nb. 1, 100%)		
CRS			
CIS		
CSP			
CRP	tiens (nb. 1, 100%)		
CIP			

vostre nb.2
cas	masc	fém	neutre
CSS			
CRS	vostre (nb. 1, 100%)		
CIS		
CSP			
CRP		vostres (nb. 1, 100%)	
CIP			

suen nb.2
cas	masc	fém	neutre
CSS			
CRS		seue (nb. 2, 100%)	
CIS		
CSP			
CRP			
CIP			

lor2 nb.1
cas	masc	fém	neutre
CSS			
CRS	lor (nb. 1, 100%)		
CIS		
CSP			
CRP			
CIP			

Les pronoms relatifs


cant2 nb.4
cas	masc	fém	neutre
CSS			
CRS			qanqu (nb. 1, 100%)
CIS			
CSP			
CRP			qanq (nb. 1, 100%)
CIP			

cant1 nb.4
cas	masc	fém	neutre
CSS			
CRS			
CIS			
CSP			
CRP			qanq (nb. 1, 100%)
CIP			quanq (nb. 1, 50%), qanq (nb. 1, 50%)

quel1 nb.6
cas	masc	fém	neutre
CSS	queus (nb. 1, 100%)		
CRS		quel (nb. 1, 33%), qele (nb. 2, 67%)	
CIS			
CSP		qeles (nb. 1, 100%)	
CRP		qels (nb. 1, 100%)	
CIP			

le+quel1 nb.1
cas	masc	fém	neutre
CSS			
CRS			
CIS		laquele (nb. 1, 100%)	
CSP			
CRP			
CIP			

dont nb.72
cas	masc	fém	neutre
CSS			
CRS		dont (nb. 5, 100%)	
CIS	dont (nb. 26, 100%)	dont (nb. 17, 100%)	dont (nb. 7, 100%)
CSP			
CRP			
CIP	dont (nb. 12, 100%)	dont (nb. 5, 100%)	

