
Groupe scy :  ss
Asie	1	Almasse	1	
abatre	1	abatissent	1	
aboser	1	abessa	1	
acomplir	1	acompleïsses	1	
adoucir	1	adoucissoit	1	
aemplir	3	aemplissoit	2	aemplisse	1	
alaschier	3	alassoit	1	alasser	2	
aler	10	alassent	9	alasse	1	
amener	1	amenissiez	1	
amer1	1	amassent	1	
aorer2	3	aorassent	3	
aporter	1	aportassent	1	
aprendre	1	aprisses	1	
aproismier	1	apresser	1	
ardre	3	arsissent	3	
atendre	1	atendissent	1	
avenir	2	avenissent	2	
avoir	9	eüssent	7	eüsse	1	eüssiez	1	
bas	2	basse	2	
batisier	1	baptizassent	1	
benëir	3	beneïssoient	1	beneïssant	1	Beneïssons	1	
blandir	1	blandissoient	1	
bondir	1	boidissant	1	
buison	1	buisson	1	
cerchier	1	cerchassent	1	
chacier	1	chaçassent	1	
combatre	2	combatissent	1	combatisses	1	
combrisier	1	combrisassent	1	
comparer2	1	comperassent	1	
conoistre	21	conoissons	1	conoissoit	9	conoisse	1	conoissent	4	conneüssent	1	coneüssent	1	conoissoient	2	conissoient	1	connissoit	1	
convertir	3	convertissoient	1	convertissent	1	convertissoit	1	
covoitier	1	covoitassent	1	
covoitise	3	covoitisse	2	couvoitisses	1	
criembre	2	cremisse	1	cremissent	1	
croire	2	creüssent	2	
croistre	2	crasse	1	croissoient	1	
cuidier1	3	cuidissiez	3	
debrisier	1	debrisassent	1	
deguerpir	18	deguerpissoit	4	deguerpisse	1	deguerpissoient	2	deguerpesissent	1	deguerpisses	2	deguerpissent	3	deguerpeïssent	3	deguerpissomes	1	deguerpissons	1	
demorer	1	demorassent	1	
demostrer	1	demostrasses	1	
depecier	1	depeçassent	1	
descendre	1	descendissent	1	
desconfire	1	desconfeïssent	1	
desfermer	1	desfermassent	1	
destruire	1	destruisissent	1	
devenir	1	servissent	1	
devoir	1	deüsse	1	
dire	2	deïssiez	1	deïssent	1	
doner	1	donassent	1	
eglise	106	glisse	1	yglisse	1	eglisse	82	eglisses	16	Eglisse	4	Glisse	1	eglysse	1	
enoiier	1	anuiassent	1	
enrichir	1	enrichissoit	1	
ensembler	1	anssamblé	1	
ensivre1	2	ensivissons	1	ensivissent	1	
entendre	1	entendissent	1	
entreprendre	2	entreprisse	1	entreprisses	1	
entrer	2	entrasse	1	entrassent	1	
esbäir	2	esbahissoient	1	esbahissoit	1	
escondire	2	escondeïsse	1	escondissoit	1	
escïent	2	essient	1	essïent	1	
esgarder	2	esgardissions	1	esgardassent	1	
esjöir	1	esjoïssent	1	
eslëecier	1	esleeçassent	1	
espès	1	espesses	1	
esrachier2	1	esrachassent	1	
establir	1	establissoit	1	
estre1	28	fussent	24	fussiez	1	fusse	3	
faire	19	feïssent	12	faissoit	1	feïsse	2	faissoient	1	fissent	1	feïsses	1	feïssons	1	
felon	1	felenesse	1	
fuir	1	foïssent	1	
garantise	1	garantisse	1	
garder	2	gardissons	1	gardassent	1	
garir	1	guerissoit	1	
garison	4	guerissons	1	garisson	2	guerisson	1	
garnir	1	garnissoit	1	
gemir	2	jemissoient	1	gemissoit	1	
gerir	4	guerissoient	4	
geter	1	getassent	1	
grever	1	grevissions	1	
gros	2	grosses	2	
guise	3	guisse	3	
