
Indicatif présent
Premier groupe

comander
P1	comanç (7), comant (4), coumanç (1), coumant (1)
P3	comande (4), conmande (2)

comencier
P1	conmanç (1), comanç (1)
P3	coumence (6), comence (4), conmence (3)
P6	conmencent (1)

cuidier1
P1	cuit (9), cuiç (3), quiç (2)
P2	cuides (2)
P4	cuidons (1)
P5	cuidiez (1)
P6	cuident (8)

laissier
P1	lesse (1)
P3	let (1), lest (1), lait (1)
P6	leissent (1), lessent (1)

priier
P1	proi (25), prie (2), pri (2)
P4	proions (5), prions (2)
P5	proiés (1)

Deuxième groupe

dire
P1	di (11), dis (1)
P2	diz (3), dis (1)
P3	dist (10)
P4	disomes (2)
P5	dites (6)
P6	dient (5)

tenir1
P1	tieng (2)
P2	tienz (1)
P3	tient (5)
P6	tienent (3)

venir
P3	vient (10)
P5	venez (1)
P6	vienent (4)

öir
P1	oï (2)
P2	oz (1)
P5	oez (8)
P6	oient (1)

Troisième groupe

croire
P1	croi (13)
P2	croiz (1)
P3	croit (1)
P4	creons (7)
P5	creez (1)
P6	croient (6)

entendre
P2	entens (2), entenz (1)
P3	entent (4)
P5	entendez (11)
P6	entendent (3)

metre2
P3	met (3)
P5	metez (1)

recevoir
P3	reçut (1)
P6	reçoivent (1)

soloir
P1	suel (1)
P2	sieus (1)

vëoir
P1	voi (9)
P2	voiz (1)
P3	voit (3)
P4	veons (3)
P5	veez (3), veiés (1)

Les auxiliaires avoir et être

avoir
P1	ai (107), ei (1)
P2	as (55)
P3	a (85)
P4	avons (24), avom (1)
P5	avez (29)
P6	ont (47)

estre1
P1	sui (29)
P2	ies (25), es (6)
P3	est (297)
P4	somes (18)
P5	estes (20)
P6	sont (79)

Les verbes irréguliers

aler
P2	vas (2), va (1)
P3	va (4), vet (2), vait (1)
P4	alons (1)
P5	alez (2)
P6	vont (4)

devoir
P1	doi (1)
P2	doiz (2)
P3	doit (46)
P4	devons (4), doiomes (1)
P5	devez (2)
P6	doivent (8)

faire
P1	faz (3)
P2	fes (4), fez (1)
P3	fet (33), fait (10)
P5	fetes (2)
P6	font (18)

pöoir
P1	puis (4)
P2	puez (6), peus (1), peüs (1)
P3	puet (23)
P4	poons (2)
P5	poez (31), poés (2)
P6	pueent (4), puent (2)

savoir
P1	sai (46), sei (4)
P2	sez (6), ses (3)
P3	seit (6), set (6), mescest (1)
P4	savons (6)
P5	savez (4)
P6	sevent (4)

voloir
P1	voel (22), voeil (3), veul (1)
P2	vius (4), veus (4), vieus (2)
P3	viut (4), veut (2), velt (1)
P4	volons (4)
P5	volez (9)
P6	voelent (7), vuelent (1)

Subjonctif présent
Premier groupe

comander
P1	comandes (1)
P3	comande (1)

laissier
P2	lesses (1)
P3	lest (3)

priier
P3	proit (3), proiast (1)

Deuxième groupe

dire
P1	die (3)
P2	dies (4)
P3	die (2)
P5	dites (2)

venir
P2	viegnes (1)
P3	viegne (1)
P5	viegniez (1)

öir
P1	ooie (1)

Troisième groupe

croire
P5	creez (1)

entendre
P3	entendie (1)
P6	entendent (1)

metre2
P3	mete (1)

recevoir
P3	reçoive (1)

vëoir
P1	voie (4), veoie (1)
P3	voie (2)

Les auxiliaires avoir et être

avoir
P1	aie (2)
P2	aies (5)
P3	ait (14)
P4	aions (5)
P5	aiez (3)
P6	aient (3)

estre1
P1	soie (3)
P2	soiez (5), soies (2)
P3	soit (36)
P4	soions (4), seions (1)
P5	soiez (6)
