Graphie du mot Dieu $9

lemme : dieu	Nombres d'occurrences : 195
deu	112	
dex	79	
diu	2	
dé	1	
deus	1	

Graphie du mot lieu $25

lemme : lieu	Nombres d'occurrences : 142
leu	95	
leus	26	
liu	13	
lius	4	
lieu	3	
lieus	1	

 Réduction de e ouvert libre en i ou en e §10

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : comencier	245	185
comença	91	
conmença	44	
comencierent	29	
conmencierent	25	
coumença	15	
coumence	6	
comence	4	
conmence	4	
comencie	3	
coumencierent	2	
conmençames	2	
començai	2	
conmencié	2	
comencier	2	
comencié	2	
conmencier	1	
conmençast	1	
conmança	1	
començames	1	
commença	1	
comenciez	1	
conmanç	1	
conmencent	1	
començoient	1	
coumençoit	1	
comanç	1	
començoit	1	
Lemme : laissier	144	105
lessa	39	
lessierent	21	
lessast	13	
lessier	11	
lessié	8	
lessiez	7	
lessassent	5	
lessoit	4	
lessons	4	
lest	4	
lai	4	
lessoient	2	
let	2	
lesses	2	
lesse	2	
leissoient	1	
lessai	1	
leissent	1	
lessasent	1	
lessions	1	
lessissons	1	
lesseroient	1	
leissons	1	
lessas	1	
lessent	1	
lesseront	1	
lairons	1	
lait	1	
lairoit	1	
laissai	1	
lessie	1	
Lemme : cuidier1	85	70
cuidoit	16	
cuidoient	13	
cuit	9	
cuident	8	
cuidierent	8	
cuidast	6	
cuida	4	
cuidissiez	3	
cuidiez	3	
cuiç	3	
quiç	2	
cuidames	2	
cuides	2	
cuidié	1	
cuidier	1	
cuidons	1	
cuidissions	1	
quidai	1	
cuidoie	1	
Lemme : mangier	85	47
mengier	30	
mengoit	9	
mengié	8	
menga	5	
mengierent	5	
mengeroit	3	
mengoient	3	
mengue	2	
menjoient	2	
mengiers	2	
mengerai	2	
mengerons	2	
mengast	2	
menja	1	
mengoie	1	
menjames	1	
menjoit	1	
mengiez	1	
mengastes	1	
mengassent	1	
menjuces	1	
mengeront	1	
menguce	1	
Lemme : repairier	76	46
repeira	10	
repairierent	9	
repera	9	
repaira	6	
repeirierent	4	
reperier	4	
repaireroit	3	
repairier	3	
repeire	3	
repeirier	3	
repairoit	3	
reperiez	3	
repairast	2	
repairoient	2	
reperierent	2	
repairiez	1	
repeirames	1	
repairié	1	
repaireras	1	
repairons	1	
repeiroient	1	
re﻿pairierent	1	
reperoient	1	
repere	1	
reperoit	1	
Lemme : pierre	36	33
pere	20	
peres	12	
pierre	3	
﻿pere	1	
Lemme : enseignier	51	31
ensigniez	13	
ensignier	4	
ensignié	4	
ensigna	4	
ensignoit	3	
enseignast	3	
enseignié	2	
ensignast	2	
ensegnier	1	
ensegnast	1	
ensegnoie	1	
enseignent	1	
enseigna	1	
enseignoit	1	
enseignant	1	
enseigne	1	
enseignes	1	
enseigniez	1	
enseignierent	1	
ensegnoit	1	
ensegnerai	1	
enseignasces	1	
ensignai	1	
enseignie	1	
Lemme : criembre	25	20
cremi	6	
cremoit	4	
criem	3	
cremoient	2	
cremirent	2	
cremirai	1	
cremist	1	
cremissent	1	
cremisse	1	
