identifier,neutral,edition,D,ajout,casAbs,casAbs om.,erreur,etym.,inv.,om.,om. casAbs,plur.,red.,semantique,sing.,temps,edition_real,diff
1.1.1,253,10,20,0,0,0,0,0,3,0,0,0,0,16,0,1,263,-10
2.1.1,451,37,30,0,0,0,3,0,8,0,0,0,0,17,2,0,488,7
3.1.1,269,10,9,3,0,0,0,0,0,0,0,0,0,6,0,0,279,1
4.1.1,246,7,2,0,0,0,0,0,0,0,0,0,2,0,0,0,253,5
5.1.1,305,17,19,5,0,0,0,0,5,0,0,0,0,9,0,0,322,-2
6.1.1,212,17,17,0,0,0,0,0,5,0,0,0,0,12,0,0,229,0
7.1.1,236,43,11,0,0,0,0,0,0,0,0,0,0,9,2,0,279,32
8.1.1,288,24,31,14,0,0,0,0,5,0,0,0,0,12,0,0,312,-7
9.1.1,327,16,18,7,0,0,0,0,4,0,0,0,0,7,0,0,343,-2
10.1.1,196,11,9,0,0,0,0,0,5,0,0,0,0,4,0,0,207,2
11.1.1,419,23,21,2,0,0,4,0,2,0,0,0,0,13,0,0,442,2
12.1.1,399,125,25,2,0,0,0,1,6,0,0,0,0,16,0,0,524,100
12.2.1,108,6,2,0,0,0,0,0,0,0,0,0,0,2,0,0,114,4
13.1.1,193,11,6,0,0,0,0,0,0,0,0,0,0,6,0,0,204,5
14.1.1,266,15,17,0,0,0,0,0,0,0,0,0,0,17,0,0,281,-2
15.1.1,327,20,12,0,0,0,0,0,4,0,0,0,0,7,1,0,347,8
16.1.1,393,43,39,6,0,0,0,0,11,0,0,0,0,22,0,0,436,4
16.2.1,380,33,37,12,0,0,0,0,11,0,0,0,0,14,0,0,413,-4
17.1.1,207,11,11,7,0,0,0,0,0,0,0,0,0,4,0,0,218,0
18.1.1,310,10,11,4,0,0,0,0,0,0,0,0,0,6,0,1,320,-1
19.1.1,157,8,10,6,0,0,0,0,0,0,0,0,0,4,0,0,165,-2
20.1.1,218,14,15,0,0,0,0,0,10,0,0,0,0,5,0,0,232,-1
21.1.1,426,51,41,2,0,0,0,0,8,0,0,0,0,30,0,1,477,10
22.1.1,303,9,8,0,0,0,0,0,0,0,0,0,0,8,0,0,312,1
23.1.1,333,11,16,2,0,0,0,0,0,0,0,0,0,14,0,0,344,-5
24.1.1,186,7,5,0,0,0,0,0,2,0,0,0,0,3,0,0,193,2
25.1.1,244,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,247,1
26.1.1,217,11,12,0,0,0,0,0,0,0,0,0,0,12,0,0,228,-1
27.1.1,118,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,125,0
28.1.1,136,10,5,0,0,0,0,0,0,0,0,0,0,5,0,0,146,5
29.1.1,254,15,12,8,0,0,0,0,0,0,0,0,0,3,0,1,269,3
29.2.1,531,146,37,9,0,0,0,0,0,0,0,2,0,26,0,0,677,109
29.3.1,121,4,12,11,0,0,0,0,0,0,0,0,0,1,0,0,125,-8
30.1.1,343,11,11,4,0,0,0,0,0,0,0,0,0,6,0,1,354,0
30.2.1,533,13,15,0,0,0,2,1,0,0,0,0,0,9,2,1,546,-2
31.1.1,293,11,11,9,0,0,0,0,0,0,0,0,0,2,0,0,304,0
31.2.1,136,6,6,0,0,0,0,0,4,0,0,0,0,2,0,0,142,0
31.3.1,498,27,28,4,0,0,0,0,2,0,0,0,0,21,1,0,525,-1
32.1.1,421,10,7,0,0,0,0,0,2,0,0,0,0,5,0,0,431,3
32.2.1,242,16,14,2,0,0,0,0,3,0,0,0,0,9,0,0,258,2
33.1.1,364,16,22,2,0,0,0,0,5,0,0,0,0,15,0,0,380,-6
33.2.1,210,14,13,0,0,0,0,0,6,0,0,0,0,5,1,1,224,1
34.1.1,364,6,7,2,0,0,0,0,0,0,0,0,0,5,0,0,370,-1
35.1.1,201,15,14,2,0,0,0,0,0,0,0,0,0,12,0,0,216,1
35.2.1,281,36,19,2,3,0,0,0,5,0,0,4,0,5,0,0,317,17
36.1.1,241,17,25,11,0,0,0,0,7,0,0,0,0,7,0,0,258,-8
37.1.1,229,10,5,0,0,0,0,0,0,0,0,0,0,3,0,2,239,5
38.1.1,323,6,7,0,0,0,0,0,0,0,0,0,0,7,0,0,329,-1
39.1.1,257,54,15,4,0,0,0,0,7,0,0,0,0,4,0,0,311,39
40.1.1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0
40.2.1,352,18,19,9,0,0,0,0,4,0,0,0,0,6,0,0,370,-1
41.1.1,87,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,89,1
42.1.1,276,4,5,2,0,0,0,0,0,0,0,0,0,1,0,2,280,-1
43.1.1,118,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,121,1
44.1.1,365,29,38,15,3,0,0,0,2,0,0,0,0,17,1,0,394,-9
44.2.1,275,15,19,9,0,0,0,0,8,0,0,0,0,2,0,0,290,-4
44.3.1,101,10,11,4,0,0,0,0,4,0,0,0,0,3,0,0,111,-1
Mots C1,16787,,,,,,,,,,,,,,,,,
Mots D,16476,,,,,,,,,,,,,,,,,
Pourcentage de moins,"98,1473759456722",,,,,,,,,,,,,,,,,
