identifier,neutral,edition,G1,ajout,inv.,om.,plur.,red.,semantique,sing.,temps,edition_real,diff
1.1.1,162,101,81,17,3,0,0,3,57,0,1,263,20
2.1.1,329,159,112,11,11,0,0,6,82,2,0,488,47
3.1.1,196,83,89,0,14,0,0,0,75,0,0,279,-6
4.1.1,215,38,39,6,2,0,0,0,29,0,2,253,-1
5.1.1,264,58,55,4,5,0,0,0,46,0,0,322,3
6.1.1,193,36,39,4,5,0,0,0,29,0,1,229,-3
7.1.1,214,65,65,9,8,0,0,0,46,0,2,279,0
8.1.1,236,77,43,2,2,0,0,1,36,0,2,313,34
9.1.1,247,96,85,3,21,0,0,0,61,0,0,343,11
10.1.1,159,48,36,4,5,0,0,0,27,0,0,207,12
11.1.1,323,119,79,12,7,0,0,6,54,0,0,442,40
12.1.1,267,165,119,4,19,0,0,0,95,0,1,432,46
12.2.1,86,29,17,0,0,0,0,2,15,0,0,115,12
13.1.1,143,61,39,9,6,0,2,0,22,0,0,204,22
14.1.1,194,87,54,10,8,0,0,0,36,0,0,281,33
15.1.1,269,78,69,0,0,0,0,0,69,0,0,347,9
16.1.1,294,140,106,6,30,0,0,2,55,9,4,434,34
16.2.1,278,135,135,38,16,0,2,1,78,0,0,413,0
17.1.1,158,61,54,3,9,0,0,0,34,7,1,219,7
18.1.1,230,90,58,0,10,0,0,0,45,0,3,320,32
19.1.1,120,46,53,4,8,0,0,2,38,0,1,166,-7
20.1.1,151,81,89,14,17,0,0,0,57,0,1,232,-8
21.1.1,304,173,152,0,34,0,7,1,106,3,1,477,21
22.1.1,224,88,68,0,4,0,0,0,64,0,0,312,20
23.1.1,210,134,123,36,6,0,0,5,76,0,0,344,11
24.1.1,137,56,48,7,7,0,0,0,34,0,0,193,8
25.1.1,172,75,68,4,13,0,0,5,40,6,0,247,7
26.1.1,167,61,62,6,3,0,0,0,51,0,2,228,-1
27.1.1,92,33,31,3,5,0,3,0,20,0,0,125,2
28.1.1,109,37,48,9,0,0,0,0,39,0,0,146,-11
29.1.1,193,76,74,18,0,0,1,0,48,0,7,269,2
29.2.1,366,188,148,36,30,0,1,1,80,0,0,554,40
29.3.1,82,43,36,11,10,0,0,0,15,0,0,125,7
30.1.1,217,138,132,47,7,0,0,0,78,0,0,355,6
30.2.1,387,159,132,24,18,0,0,2,88,0,0,546,27
31.1.1,208,96,114,13,10,0,0,0,91,0,0,304,-18
31.2.1,121,21,21,11,0,0,0,0,10,0,0,142,0
31.3.1,372,153,125,5,15,0,0,0,105,0,0,525,28
32.1.1,325,106,94,17,16,0,0,7,54,0,0,431,12
32.2.1,161,97,67,9,12,0,0,5,41,0,0,258,30
33.1.1,262,119,111,29,0,0,0,18,63,0,1,381,8
33.2.1,137,87,61,2,8,0,0,5,38,6,2,224,26
34.1.1,217,154,126,36,5,0,0,15,65,1,4,371,28
35.1.1,139,77,69,35,2,0,0,0,32,0,0,216,8
35.2.1,228,89,92,6,10,0,0,1,74,1,0,317,-3
36.1.1,162,96,87,12,12,0,0,2,61,0,0,258,9
37.1.1,171,68,47,6,23,0,0,3,12,3,0,239,21
38.1.1,219,110,85,2,33,0,1,5,43,0,1,329,25
39.1.1,194,115,65,10,12,0,0,4,38,0,1,309,50
40.1.1,84,30,25,3,0,0,0,0,21,0,1,114,5
40.2.1,246,124,103,49,11,0,0,3,40,0,0,370,21
41.1.1,62,27,17,4,9,0,0,0,4,0,0,89,10
42.1.1,187,93,75,14,0,0,0,10,47,0,4,280,18
43.1.1,67,54,39,6,4,0,0,4,22,3,0,121,15
44.1.1,269,125,114,14,9,0,2,0,87,0,2,394,11
44.2.1,200,90,64,11,0,0,0,0,53,0,0,290,26
44.3.1,76,35,40,25,7,0,0,0,7,0,1,111,-5
