identifier,neutral,edition,M1,ajout,inv.,om.,plur.,red.,semantique,sing.,temps,edition_real,diff
1.1.1,197,66,76,9,3,0,0,0,63,1,0,263,-10
2.1.1,378,110,101,8,22,0,7,1,63,0,0,488,9
3.1.1,216,63,71,0,4,0,0,1,66,0,0,279,-8
4.1.1,216,37,34,0,2,0,2,0,29,0,1,253,3
5.1.1,268,54,55,0,12,0,0,0,43,0,0,322,-1
6.1.1,173,56,92,34,5,0,0,0,53,0,0,229,-36
7.1.1,227,52,65,7,17,0,0,0,41,0,0,279,-13
8.1.1,256,56,65,9,14,0,0,1,41,0,0,312,-9
9.1.1,271,72,70,3,12,0,0,0,55,0,0,343,2
10.1.1,158,49,51,11,0,0,0,0,40,0,0,207,-2
11.1.1,340,102,91,2,17,0,0,0,65,7,0,442,11
12.1.1,328,109,115,6,20,0,0,0,88,0,1,437,-6
12.2.1,100,15,17,5,0,0,0,1,11,0,0,115,-2
13.1.1,158,46,40,2,11,0,2,1,24,0,0,204,6
14.1.1,228,53,57,14,3,0,0,0,40,0,0,281,-4
15.1.1,272,75,66,3,4,0,0,0,59,0,0,347,9
16.1.1,286,149,130,6,21,0,0,16,81,4,2,435,19
16.2.1,304,109,115,27,14,0,0,3,71,0,0,413,-6
17.1.1,183,36,35,0,9,0,0,0,26,0,0,219,1
18.1.1,241,79,77,0,21,0,0,0,49,2,5,320,2
19.1.1,116,50,60,10,9,0,0,0,41,0,0,166,-10
20.1.1,167,65,70,3,11,0,0,0,54,0,2,232,-5
21.1.1,352,125,110,14,22,0,2,0,71,1,0,477,15
22.1.1,247,65,64,15,7,0,0,0,42,0,0,312,1
23.1.1,251,93,89,26,12,0,0,1,50,0,0,344,4
24.1.1,145,48,52,12,10,0,2,0,28,0,0,193,-4
25.1.1,185,62,61,9,14,0,0,0,38,0,0,247,1
26.1.1,174,54,52,2,0,0,2,2,46,0,0,228,2
27.1.1,92,33,31,0,6,0,0,0,25,0,0,125,2
28.1.1,114,32,36,4,3,0,0,0,29,0,0,146,-4
29.1.1,209,61,63,11,0,0,0,0,51,0,1,270,-2
29.2.1,418,161,185,48,22,0,3,0,112,0,0,579,-24
29.3.1,104,21,23,6,0,0,1,0,9,7,0,125,-2
30.1.1,256,99,110,28,7,0,0,17,56,0,2,355,-11
30.2.1,418,128,131,11,19,0,1,4,94,0,2,546,-3
31.1.1,240,64,65,2,5,0,0,0,57,0,1,304,-1
31.2.1,133,9,10,0,0,0,0,0,8,2,0,142,-1
31.3.1,429,96,102,21,7,0,0,0,71,0,3,525,-6
32.1.1,372,59,76,12,31,0,0,0,33,0,0,431,-17
32.2.1,182,76,63,5,10,0,0,30,17,1,0,258,13
33.1.1,290,91,109,8,7,0,0,3,88,2,1,381,-18
33.2.1,194,30,36,10,2,0,0,2,20,1,1,224,-6
34.1.1,264,106,108,2,17,0,0,16,73,0,0,370,-2
35.1.1,162,54,61,29,19,0,0,0,13,0,0,216,-7
35.2.1,254,63,60,6,9,0,0,0,44,1,0,317,3
36.1.1,213,45,49,18,5,0,0,0,26,0,0,258,-4
37.1.1,197,42,39,7,2,0,0,0,25,0,5,239,3
38.1.1,280,49,47,10,7,0,0,2,22,0,6,329,2
39.1.1,220,51,51,13,3,0,0,4,31,0,0,271,0
40.1.1,80,34,39,2,0,0,0,0,34,0,3,114,-5
40.2.1,291,79,95,31,18,0,2,0,42,0,2,370,-16
41.1.1,85,4,2,0,0,0,0,0,1,1,0,89,2
42.1.1,230,50,59,16,9,0,0,0,28,0,6,280,-9
43.1.1,79,42,35,0,8,0,0,0,26,1,0,121,7
44.1.1,0,394,0,0,0,0,0,0,0,0,0,394,394
44.2.1,0,290,0,0,0,0,0,0,0,0,0,290,290
44.3.1,0,111,0,0,0,0,0,0,0,0,0,111,111
