identifier,neutral,edition,G1,ajout,inv.,om.,plur.,red.,semantique,sing.,temps,text,edition_real,diff,,
1.1.1,162,101,86,17,3,5,0,3,57,0,1,0,263,15,,
2.1.1,330,158,129,11,11,18,0,4,83,2,0,0,488,29,,
3.1.1,197,82,91,0,3,6,0,0,82,0,0,0,279,-9,,
4.1.1,215,38,43,6,2,4,0,0,29,0,2,0,253,-5,,
5.1.1,267,58,66,0,5,11,0,0,50,0,0,0,325,-8,,
6.1.1,191,38,48,0,5,6,0,0,36,0,1,0,229,-10,,
7.1.1,214,65,73,7,8,8,0,0,48,0,2,0,279,-8,,
8.1.1,235,78,62,0,2,14,0,1,43,0,2,0,313,16,,
9.1.1,251,92,92,0,21,11,0,0,60,0,0,0,343,0,,
10.1.1,159,48,41,0,5,5,0,0,31,0,0,0,207,7,,
11.1.1,324,118,100,12,7,22,0,0,59,0,0,0,442,18,,
12.1.1,270,162,138,0,23,22,0,0,92,0,1,0,432,24,,
12.2.1,86,29,19,0,0,2,0,2,15,0,0,0,115,10,,
13.1.1,143,61,47,5,6,8,2,0,26,0,0,0,204,14,,
14.1.1,194,87,64,8,8,10,0,0,38,0,0,0,281,23,,
15.1.1,270,77,82,0,0,14,0,0,68,0,0,0,347,-5,,
16.1.1,297,138,120,6,30,17,0,0,54,9,4,0,435,18,,
16.2.1,278,135,147,33,16,12,2,1,83,0,0,0,413,-12,,
17.1.1,158,61,63,3,9,9,0,0,34,7,1,0,219,-2,,
18.1.1,232,88,72,0,10,16,0,0,43,0,3,0,320,16,,
19.1.1,121,44,53,4,8,2,0,0,39,0,0,0,165,-9,,
20.1.1,147,85,99,10,17,6,0,0,66,0,0,0,232,-14,,
21.1.1,304,173,161,0,34,11,5,1,106,3,1,0,477,12,,
22.1.1,225,87,76,0,4,9,0,0,63,0,0,0,312,11,,
23.1.1,218,126,127,16,6,11,0,0,94,0,0,0,344,-1,,
24.1.1,139,54,53,0,4,6,0,0,43,0,0,0,193,1,,
25.1.1,171,76,75,4,14,6,0,0,51,0,0,0,247,1,,
26.1.1,167,61,70,4,3,8,0,0,53,0,2,0,228,-9,,
27.1.1,92,33,33,3,3,2,3,0,22,0,0,0,125,0,,
28.1.1,109,37,52,9,0,4,0,0,39,0,0,0,146,-15,,
29.1.1,193,77,84,7,0,9,1,0,60,0,7,0,270,-7,,
29.2.1,366,188,168,23,30,20,1,1,93,0,0,0,554,20,,
29.3.1,82,43,40,5,10,4,0,0,21,0,0,0,125,3,,
30.1.1,219,136,143,40,7,13,0,0,83,0,0,0,355,-7,,
30.2.1,389,157,143,15,18,13,0,2,95,0,0,0,546,14,,
31.1.1,208,96,122,11,5,8,0,0,98,0,0,0,304,-26,,
31.2.1,121,21,27,11,0,6,0,0,10,0,0,0,142,-6,,
31.3.1,375,151,144,3,15,22,0,0,104,0,0,0,526,7,,
32.1.1,328,103,101,11,13,10,0,1,66,0,0,0,431,2,,
32.2.1,161,97,71,9,12,4,0,5,41,0,0,0,258,26,,
33.1.1,263,118,124,29,0,13,0,13,68,0,1,0,381,-6,,
33.2.1,137,87,68,2,8,7,0,5,39,6,1,0,224,19,,
34.1.1,219,152,136,31,5,12,0,15,70,1,2,0,371,16,,
35.1.1,139,76,79,35,2,11,0,0,31,0,0,0,215,-3,,
35.2.1,228,89,97,6,10,5,0,1,74,1,0,0,317,-8,,
36.1.1,159,99,100,12,12,10,0,2,64,0,0,0,258,-1,,
37.1.1,173,66,57,6,21,12,0,0,15,3,0,0,239,9,,
38.1.1,221,108,94,2,33,11,1,2,44,0,1,0,329,14,,
39.1.1,197,68,64,10,9,8,0,3,33,0,1,0,265,4,,
40.1.1,84,30,28,3,0,3,0,0,21,0,1,0,114,2,,
40.2.1,246,124,126,50,11,22,0,3,40,0,0,0,370,-2,,
41.1.1,62,27,23,4,9,6,0,0,4,0,0,0,89,4,,
42.1.1,187,93,88,17,0,10,0,4,53,0,4,0,280,5,,
43.1.1,67,54,43,0,4,4,0,4,28,3,0,0,121,11,,
44.1.1,269,125,130,14,9,16,2,0,87,0,2,0,394,-5,,
44.2.1,200,90,74,11,0,10,0,0,53,0,0,0,290,16,,
44.3.1,76,35,43,25,7,3,0,0,7,0,1,0,111,-8,,
,11535,5000,,,,,,,,,,,16535,201,16334,"98,78 %"
,,,,,,,,,,,,diff. Total,,16535,,
