Nb de leçons divergente entre l'édition et G1 :2206		
		
ajout		
150		
Pourcentage : 6.799637352674524		
Lemme 	leçon	
fist il	Adont fist il (G1)	1
fu	Aprés fu (G1)	1
vit qe	Car quant li emperieres oï ce que (G1)	1
car	Et bien sachiez que (G1)	1
Et	Et quant (G1)	4
Saces	Et saches (G1)	1
Seinz Ambroses	Et saint Ambroise (G1)	1
Si	Et si (G1)	2
Et	Et tout (G1)	1
Il escoust	Il escoust, fait il, (G1)	1
Mes	Mes bien sachiez qu' (G1)	1
Seinz Martins	Mes saint Martin (G1)	1
Sires	Sires que tu aoures (G1)	1
a destruire	a confraindre l'ymage aus faus diex (G1)	1
la	a la (G1)	2
a vraie creance	a vraie foi et a veraie creance (G1)	1
ala	ala il (G1)	1
alumee	alumee et arse (G1)	1
si firent	aprés li fist on un (G1)	1
arcevesqes	arcevesques estoit (G1)	1
rasamblees	assemblees et requises (G1)	1
au povre home	au povre et cele partie meïsme (G1)	1
bon l'assomement	bien estre sens et sauvemenz (G1)	1
pastor	bon paistres (G1)	1
venoit	ce venoit (G1)	1
vint	ce vint (C2 G1)	1
vraiement	ceste chose et sanz doutance (G1)	1
cil	cil estoit (G1)	1
Ce	cist plors et ceste plainte (G1)	1
demanda	conmanda qu'il li deïssent (G1)	1
conmença	conmença molt durement (G1)	1
conté	conté et dit (G1)	2
couchierent	couchierent en sa ciaulle (G1)	1
covint	couvint il (G1)	1
chose	creature. Une foiz et autre li demanda s'il ooit neïs ne	
                entendoit nule chose (G1)	1	
croi je	croi je veraiement (G1)	1
de bone loy et de seinte vie	de bonne foi et de bonne loi et de sainte vie (G1)	1
de ceste vie	de ceste vie que ce seroit bien afaire (G1)	1
de	de la cité de la cité de (G1)	1
delivrez	delivrez par saint Martin (G1)	1
des siecles	des siecles sanz fin (C2 G1)	1
devant	devant lui (G1)	1
croire	dire ne reconter (G1)	1
el cors	el cors de celi sergent (G1)	1
enfermetez	enfermetez qu'il avoient (G1)	1
voiseus	envieus ne malicieus (G1)	1
envoia	envoia tantost (G1)	1
meüs en pitié	esmeüz durement pour le duel que li desciple menoient	
                entr'euls (G1)	1	
archevesqes 	estre arcevesques (G1)	1
seoir et gesir	estre plus coiement et bele noeve chambre (G1)	1
com seint Martin	et aornez de si bonnes mors conme saint Martin (G1)	1
car	et bien sachiez qu' (G1)	1
ou eglyse	et chastiaus et eglises (G1)	1
toz	et devant les sainz homes qui la estoient assemblé (G1)	1
et 	et la vint (G1)	1
qant	et qant (C2 C3 G1)	1
si	et si (G1)	9
