
Graphie de eau :
lemme : aigue	Nombres d'occurrences : 55
eves	1	POS=NOMcom|NOMB.=p|GENRE=f|CAS=r	1	
eaue	5	POS=NOMcom|NOMB.=s|GENRE=f|CAS=r	5	
eve	49	POS=NOMcom|NOMB.=s|GENRE=f|CAS=r	48	POS=NOMcom|NOMB.=s|GENRE=f|CAS=n	1	

G+a lat. Et G + a,e,i germanique – conservation de la gutturale.
§42 g pic. vs j fr à l'initiale

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : jëuner	8	2
geuné	1	POS=VERppe|NOMB.=s|GENRE=n|CAS=r	1	
jeunoient	1	POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	1	
geuner	1	POS=VERinf|NOMB.=x|GENRE=x|CAS=x	1	
jeuner	1	POS=VERinf|NOMB.=x|GENRE=x|CAS=x	1	
jeunoit	1	POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	1	
jeuns	1	POS=ADVgen|NOMB.=s|GENRE=m|CAS=n	1	
jeuna	2	POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	2	
Lemme : jorge	3	2
jorge	1	POS=NOMpro|NOMB.=s|GENRE=m|CAS=r	1	
george	2	POS=NOMpro|NOMB.=s|GENRE=m|CAS=r	2	
Lemme : jëune	19	8
geunes	8	POS=NOMcom|NOMB.=p|GENRE=m|CAS=r	6	POS=NOMcom|NOMB.=s|GENRE=f|CAS=r	1	POS=NOMcom|NOMB.=p|GENRE=f|CAS=r	1	
jeunes	11	POS=NOMcom|NOMB.=p|GENRE=m|CAS=r	10	POS=NOMcom|NOMB.=p|GENRE=f|CAS=r	1	
Lemme : jeter	38	38
getés	1	POS=VERppe|NOMB.=s|GENRE=m|CAS=n	1	
gietes	1	POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	1	
gieté	1	POS=VERppe|NOMB.=s|GENRE=m|CAS=r	1	
getetes	1	POS=VERppe|NOMB.=p|GENRE=f|CAS=r	1	
gietast	1	POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	1	
geté	1	POS=VERppe|NOMB.=s|GENRE=m|CAS=r	1	
giete	1	POS=VERcjg|MODE=imp|PERS.=2|NOMB.=s	1	
getoient	1	POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	1	
gieter	2	POS=VERinf|NOMB.=x|GENRE=x|CAS=x	2	
gieterent	2	POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	2	
gieta	2	POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	2	
getees	2	POS=VERppe|NOMB.=p|GENRE=f|CAS=r	2	
geter	3	POS=VERinf|NOMB.=x|GENRE=x|CAS=x	3	
getee	3	POS=VERppe|NOMB.=s|GENRE=f|CAS=r	3	
geterent	4	POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	4	
getez	5	POS=VERcjg|MODE=imp|PERS.=2|NOMB.=p	2	POS=VERppe|NOMB.=s|GENRE=m|CAS=n	3	
geta	7	POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	7	
Lemme : jesir	64	57
geta	1	POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	1	
gissant	1	POS=VERppa|NOMB.=s|GENRE=m|CAS=r	1	
jurent	1	POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	1	
gis	1	POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	1	
gisant	2	POS=VERppa|NOMB.=s|GENRE=m|CAS=n	1	POS=VERppa|NOMB.=s|GENRE=f|CAS=r	1	
gisoient	3	POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	3	
geü	6	POS=VERppe|NOMB.=s|GENRE=m|CAS=r	4	POS=VERppe|NOMB.=s|GENRE=n|CAS=r	1	POS=VERppe|NOMB.=s|GENRE=m|CAS=r|DEGRE=p	1	
jut	6	POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	6	
gist	7	POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	7	
gesir	8	POS=VERinf|NOMB.=x|GENRE=x|CAS=x	8	
gisoit	28	POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	27	POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	1	

§42 g pic. vs j fr à l'intérieur

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : enjoindre	2	1
enjoing	1	POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	1	
enjoint	1	POS=VERppe|NOMB.=s|GENRE=n|CAS=r	1	
Lemme : rejeter	1	1
regieta	1	POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	1	
Lemme : rejehir	14	10
regehissoit	1	POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	1	
regehir	1	POS=VERinf|NOMB.=x|GENRE=x|CAS=x	1	
regehis	1	POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s	1	
rejehisses	1	POS=VERcjg|MODE=sub|TEMPS=ipf|PERS.=2|NOMB.=p	1	
rejehis	1	POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	1	
regehissoient	1	POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	1	
regehissons	1	POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p	1	
rejehir	2	POS=VERinf|NOMB.=x|GENRE=x|CAS=x	2	
regehirent	2	POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	2	
regehi	3	POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	3	


§42 gu/gh pic. vs g à l'initiale 

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : gaster	4	1
gasté	1	POS=VERppe|NOMB.=s|GENRE=m|CAS=r	1	
gastoit	1	POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=2|NOMB.=s	1	
gastee	1	POS=VERppe|NOMB.=s|GENRE=f|CAS=r	1	
guasterent	1	POS=VERcjg|MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	1	
Lemme : garir	7	3
garie	1	POS=VERppe|NOMB.=s|GENRE=f|CAS=n	1	
gueriz	1	POS=VERppe|NOMB.=s|GENRE=m|CAS=n	1	
guerissoit	1	POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	1	
garir	1	POS=VERinf|NOMB.=x|GENRE=x|CAS=x	1	
guerir	1	POS=VERinf|NOMB.=x|GENRE=x|CAS=x	1	
gariz	2	POS=VERppe|NOMB.=s|GENRE=m|CAS=n	1	POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s	1	
Lemme : garison	8	4
guerissons	1	POS=NOMcom|NOMB.=p|GENRE=f|CAS=r	1	
guerisson	1	POS=NOMcom|NOMB.=s|GENRE=f|CAS=r	1	
garisons	2	POS=NOMcom|NOMB.=p|GENRE=f|CAS=r	1	POS=NOMcom|NOMB.=p|GENRE=m|CAS=r	1	
garisson	2	POS=NOMcom|NOMB.=s|GENRE=f|CAS=r	2	
guerison	2	POS=NOMcom|NOMB.=s|GENRE=f|CAS=r	2	
Lemme : gaire	7	5
guaires	1	POS=ADVneg|MORPH=empty	1	
gaires	2	POS=ADVneg|MORPH=empty	1	POS=ADVgen|DEGRE=-	1	
gueres	4	POS=ADVneg|MORPH=empty	1	POS=ADVgen|DEGRE=c	1	POS=ADVgen|DEGRE=-	2	
Lemme : gaitier	10	8
guetent	1	POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	1	
guaitoit	1	POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	1	
guetoient	1	POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	1	
guaitent	1	POS=VERcjg|MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	1	
gaitoient	2	POS=VERcjg|MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	2	
