
Dissibilation du -r- 

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : proprïeté	1	1
proprietet	1	
Lemme : croistre	12	1
crurent	1	
cremor	1	
crasse	1	
creüs	1	
croissoient	1	
creüe	2	
curez	2	
croistre	3	
Lemme : prosprement	1	1
proprement	1	
Lemme : traversain	1	1
traversains	1	
Lemme : procurëor	1	1
procureres	1	
Lemme : secretaire1	1	1
secretaire	1	
Lemme : contraire1	1	1
contrere	1	
Lemme : morsure	1	1
morsures	1	
Lemme : chartrier1	1	1
chartrier	1	
Lemme : grimoarz	1	1
grimoaldus	1	
Lemme : marmorius	1	1
marmorius	1	
Lemme : enfermerie1	1	1
enfermerie	1	
Lemme : gramaire2	1	1
gramaire	1	
Lemme : torterole	1	1
torterele	1	
Lemme : murmure	2	2
murmures	1	
murmure	1	
Lemme : porpre1	2	2
porpre	2	
Lemme : chartres	2	2
chartres	2	
Lemme : orendroit	2	2
orendroit	2	
Lemme : oratoire	2	2
oratoire	2	
Lemme : confrerie	3	3
confrarie	3	
Lemme : secretaire2	3	3
secretaire	3	
Lemme : corporel	3	3
corporel	1	
corporelment	2	
Lemme : mercredi	3	3
miercredi	1	
mercredi	2	
Lemme : coverture	4	4
covertures	1	
coverture	3	
Lemme : forsenerie	4	4
forsenerie	4	
Lemme : arborius	4	4
arborius	4	
Lemme : purgatoire	4	4
purgatoire	4	
Lemme : premierement	4	4
premierement	4	
Lemme : marbre	4	4
marbre	4	
Lemme : gregoire	4	4
grigoire	1	
grigoires	1	
gregoires	2	
Lemme : froidure	5	5
froidures	1	
froidure	4	
Lemme : mercure	5	5
mercurius	2	
mercurie	3	
Lemme : misericort	5	5
misericorz	1	
misericors	4	
Lemme : martire2	7	7
martyre	7	
Lemme : droiturier2	11	10
droituriere	1	
droiturierement	1	
droiturieres	1	
droiturier	3	
droituriers	5	
Lemme : escriture	14	14
escripture	1	
escriptures	2	
escriture	5	
escritures	6	
Lemme : premerain	17	17
premerains	1	
premerainz	1	
premerain	1	
premereine	3	
premeraine	4	
premerein	7	
Lemme : ordre	17	17
ordres	2	
ordre	15	
Lemme : arbre	19	19
arbe	2	
arbres	5	
arbre	12	
Lemme : propre	19	19
proprement	3	
propres	4	
propre	12	
Lemme : droiture	22	22
droiture	22	
Lemme : chartre1	22	22
chartre	22	
Lemme : misericorde	51	51
misericorde	51	
Lemme : priiere	59	59
proiere	26	
proieres	33	
Lemme : prestre	85	85
pretres	1	
prestre	30	
prestres	54	
Lemme : frere	161	161
frere	78	
freres	83	

métathèse du groupe er/re 

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : trespercier	1	1
trespercerai	1	
Lemme : fermer	2	1
frema	1	
fermer	1	
Lemme : mercredi	3	3
miercredi	1	
mercredi	2	


Cas particulier des verbes au futur
durer	10	duerra	1	duerront	1	
entrer	101	enterrai	2	
estre1	2953	serra	3	serras	2	
etre	15	serront	3	
ferir	23	ferra	1	
morir	92	morras	2	
onorer	13	honoerrai	1	
pöoir	408	porras	2	porrez	1	porra	2	porrai	2	porroiz	1	
sofrir	53	soufferras	1	sosferra	1	sofferront	1	
vëoir	445	verront	1	verroiz	2	verrai	1	
öir	284	orrez	1	orrons	1	orront	1	orroiz	1	

Chute du l dans le groupe a + l + consonne

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : aucant	1	1
auqant	1	
Lemme : claudiomas	1	1
