
Indicatif présent
Premier groupe

abiter
P2	habites (1)
P3	abite (2)
P6	habitent (11)

adeser
P5	adesez (1)

aidier
P3	aïde (3)

aisier
P3	asent (1)

aler
P2	vas (2), va (1)
P3	va (4), vet (2), vait (1)
P4	alons (1)
P5	alez (2)
P6	vont (4)

amender
P4	amendons (1)

amenuisier
P6	amenuisent (1)

amer1
P1	aime (3), ame (1)
P3	aime (2)
P6	aiment (1)

anoncier
P3	annonce (2), anonce (1)
P4	annonçons (1)

aorer2
P2	aeures (1)
P3	aeure (2)
P5	aorez (1)
P6	aorent (1)

apareillier1
P2	apareilles (1)

aparler
P5	aparoles (1)

apartenir
P3	apertient (1)

apeler
P3	apele (3)
P6	apelent (2)

aprochier
P3	aproche (2), aproce (1)

aproismier
P3	aproisme (1)

aquerre
P3	aquiert (1)

arester
P3	arreste (1)
P6	arrestent (2)

ariver1
P2	arives (1)

assëurer
P3	assegure (1)

atargier
P5	atargiez (1)

atendre
P3	atent (4)
P6	atendent (1)

atochier
P5	atouchiez (1)

atorner
P3	atorne (1)

atraire
P1	atrai (1)

avenir
P3	avient (1)
P6	avienent (1), aviegnent (1)

avironer
P3	avirone (2)

avoir
P1	ai (107), ei (1)
P2	as (55)
P3	a (85)
P4	avons (24), avom (1)
P5	avez (29)
P6	ont (47)

boivre
P6	boivent (1)

chanter
P5	chantez (1)
P6	chantent (1)

clore
P6	cloent (1)

comander
P1	comanç (7), comant (4), coumanç (1), coumant (1)
P3	comande (4), conmande (2)

comencier
P1	conmanç (1), comanç (1)
P3	coumence (6), comence (4), conmence (3)
P6	conmencent (1)

conjurer
P1	conjur (7)

conoistre
P1	conui (1)
P3	conoist (2), conoissent (1)
P5	conoissiez (1)

conseillier1
P3	consaut (1)

consentir
P6	consentent (1)

constreindre
P3	constreint (1)

conter
P2	contes (2)
P3	conte (6)

corir
P3	cort (1)

corrocier
P2	corroces (1)

couchier
P3	couce (1)

covenir
P3	covient (12), couvient (1), convient (1), covenoit (1)

covoitier
P3	couvoite (1), covoite (1)

criembre
P1	criem (2)
P5	cremez (1)
P6	cremissent (1), criement (1)

croire
P1	croi (13)
P2	croiz (1)
P3	croit (1)
P4	creons (7)
P5	creez (1)
P6	croient (6)

cuidier1
P1	cuit (9), cuiç (3), quiç (2)
P2	cuides (2)
P4	cuidons (1)
P5	cuidiez (1)
P6	cuident (8)

decevoir
P2	decevoies (1)

decorir
P3	decourt (1), decort (1)

defaillir
P3	defaille (1)

definer1
P3	define (1)

deguerpir
P2	deguerpiz (3)

demander
P2	demandes (2)
P3	demande (2)
P4	demandomes (1)
P5	demandez (2), demandes (2)
P6	demandent (1)

demener
P3	demenoit (1)
P5	demenez (2)
P6	demeinent (3)

demostrer
P1	demostre (2)
P2	demostres (1)
P3	demostre (1)

departir
P2	deparz (1)
P5	departez (1)

depriier
P1	deproi (2)
P4	deprions (2), deproions (1)

descendre
P3	descent (1)

descovrir
P3	descuevre (1)

desirrer
P1	desirre (1), desire (1)
P2	desirres (1)
P3	desirre (1)
P6	desirrent (1)

despire
P6	despirent (1), despisent (1)

despoillier
P3	despoulle (1)

destreindre
P3	destreint (1)

destruire
P2	destruiz (1)

desvoiier1
P3	desvoie (1)

devenir
P3	devient (2)

devoir
P1	doi (1)
P2	doiz (2)
P3	doit (46)
P4	devons (4), doiomes (1)
P5	devez (2)
P6	doivent (8)

devorer1
P3	devore (1)
P6	deveurent (1)

dire
P1	di (11), dis (1)
P2	diz (3), dis (1)
P3	dist (10)
P4	disomes (2)
P5	dites (6)
P6	dient (5)

doner
P1	doing (1)
P3	done (4)

doter1
P6	dotent (1)

doter2
P1	douç (1)
P2	doutes (1)
P3	doute (1)
P5	doutez (1)
P6	doutent (1)

empirier
P3	empire (1)

emporter2
P1	emport (1)
P2	emportes (1)

enjoindre
P1	enjoing (1)

enmener
P3	enmeine (1)

enquerre
P5	enquerez (1)

enseignier
P1	enseigne (1)
P6	enseignent (1)

entendre
P2	entens (2), entenz (1)
P3	entent (4)
P5	entendez (11)
P6	entendent (3)

envoiier
P2	envoies (2)
P3	envoie (2)

eschaper
P3	eschape (1)

escouter
P3	escoute (2)
P5	escoutez (5)

esgarder
P2	esgardes (1)

esloignier
P6	eslongent (1)

eslëecier
P3	esleece (1)

esmerveillier
P1	esmerveil (3), esmerveille (1)
P2	esmerveilles (1)
P5	esmerveilliez (1)

espartir
P3	esparst (1)

esploitier
P3	esploite (2)

essaiier
P3	essaie (1)

estendre
P3	estent (1)

estre1
P1	sui (29)
P2	ies (25), es (6)
P3	est (297)
P4	somes (18)
P5	estes (20)
P6	sont (79)

faire
P1	faz (3)
P2	fes (4), fez (1)
P3	fet (33), fait (10)
P5	fetes (2)
P6	font (18)

finer
P6	finent (1)

gaitier
P6	guetent (1), guaitent (1)

garder
P3	garde (3)
P6	gardent (3)

garir
P2	gariz (1)

governer
P2	governes (2)
P3	governe (1)

hanter
P6	hantent (1)

häir
P3	het (2)
P6	heent (2)

issir
P3	ist (2)
P6	issent (1)

jesir
P3	gis (1)
P6	jurent (1)

jeter
P5	gietes (1)

jurer
P3	jure (1)

justicier2
P6	justicent (1)

laissier
P1	lesse (1)
P3	let (1), lest (1), lait (1)
P6	leissent (1), lessent (1)

lever
P2	lieves (1)
P3	lieve (1)

liier3
P4	lions (1)

limer
P6	liment (1)

lire1
P1	liuç (1)

loisir1
P3	loist (1)

maintenir
P3	meintient (1)

mander
P3	mant (1)

mangier
P3	mengue (1)

menacier
P3	manace (1)

mener
P1	meine (2)
P3	maine (1), meine (1)
P4	menons (1), mengons (1)
P6	meinent (1)

mentir
P5	mentés (1)
P6	mentent (1)

merveillier
P1	merveil (1)

mescroire
P3	mescreoit (1)

mesler
P4	mellames (1)

metre2
P3	met (3)
P5	metez (1)

monter
P3	monte (1)

morir
P3	muert (2)

mostrer
P2	mostres (1)

naistre
P3	nest (1)
P6	nessent (2), naissent (1)

oser
P1	ose (1)
P2	oses (3), os (2)

otroiier
P3	otroie (2)
P4	otroions (1)

ovrer
P3	oevre (1)

parler
P2	paroles (1)
P3	parole (2)

paroler
P2	paroles (2)
P3	parole (1)

parvenir
P1	parvienz (1)

penser
P3	pense (1)
P4	passerons (1)
P5	penses (1)
P6	pensent (2)

perdre
P6	perdent (2)

perir
P3	perist (1)

peser
P3	poise (1)

plaire
P3	plest (2), plot (1)

plorer
P5	plorez (1)

poindre
P3	point (1)

porpenser
P2	porpenses (1)

porter
P2	portes (1)
P3	porte (3)
P4	portons (1)
P5	portez (2)
P6	portent (1)

prendre
P3	prent (2)
P6	prendent (1)

priier
P1	proi (25), prie (2), pri (2)
P4	proions (5), prions (2)
P5	proiés (1)

prometre
P6	promettent (1)

prëechier
P3	preesche (1), preeche (1), preesce (1)

pöoir
P1	puis (4)
P2	puez (3), peus (1), peüs (1)
P3	puet (23)
P4	poons (2)
P5	poez (31), puez (3), poés (2)
P6	pueent (4), puent (2)

querre
P2	quiers (1)
P3	quist (1)
P4	querons (2)
P6	qierent (1)

recevoir
P3	reçut (1)
P6	reçoivent (1)

reclamer
P3	reclaime (1)
P6	reclaiment (7)

recomencier
P1	recomant (1)

reconter
P2	racontes (4)
P3	raconte (12), reconte (1)
P6	racontent (3), recontent (1)

refuser
P1	refuse (1), refusie (1)

regarder
P2	regardes (1), regarde (1)
P3	regarde (1)

regner
P2	regnes (2)
P3	regne (12), reigne (2)

rejehir
P1	rejehis (1)
P2	regehis (1)
P4	regehissons (1)

relever
P2	relieves (1)

remander
P4	rendons (1)

remanoir
P3	remeint (1)

remembrer
P1	remembres (1)

remüer
P3	remueve (1)

rendre
P1	renç (4), rens (1), rent (1)
P2	rendes (1)
P3	rent (2)

repaire
P2	repaires (1)

repairier
P2	repeire (1)
P3	repeire (1)

repentir
P3	repent (1)

reporter
P4	reportons (1)
P5	reportez (1)

reposer
P2	reposes (1)
P3	repose (4)

repöoir
P5	repoez (1)

requerre
P1	reqier (1)
P3	requiert (1)
P4	requerons (2)

resconser
P3	resconse (1)

resoignier
P3	resoigne (1)
P4	resoignons (1)

respondre1
P2	respons (1)

resusciter
P2	resuscites (4)
P3	resuscite (1)

retenir
P3	retient (1)
P6	retiegnent (1)

rover
P2	rueves (1)
P3	rueve (1)
P5	rovez (1)

savoir
P1	sai (46), sei (4)
P2	sez (6), ses (3)
P3	seit (6), set (6), mescest (1)
P4	savons (6)
P5	savez (4)
P6	sevent (4)

secorre1
P3	socort (1), secort (1), soceurt (1)

sembler
P1	samble (1)
P3	samble (7)

semondre
P3	semont (1)

senefiier
P3	senefie (1)

sentir
P4	sentons (1)

servir
P1	serf (1)
P3	sert (2), siert (1)
P6	servent (9)

sivre
P6	sivent (1)

sofrir
P1	suesfre (1)
P5	soffrez (1)

soloir
P1	suel (1)
P2	sieus (1)

sovenir
P3	sovient (5)

sëoir
P3	siet (2)

targier2
P2	targes (1)

tencier
P6	tencent (1)

tenir1
P1	tieng (2)
P2	tienz (1)
P3	tient (5)
P6	tienent (3)

tenter
P3	tente (1)

tesmoignier
P1	tesmoigne (1)
P2	tesmoignes (1)
