a libre tonique  > ei §1			
Mot	Nombres d'occurrences total	Nombre d'occurrences	
Lemme : moins	10	9	
meins	7		
meinz	2		
mendres	1		
Lemme : compagnon	61	8	
compaignon	26		
compaignons	23		
compeins	5		
compeinz	3		
compains	2		
conpaignons	1		
compagnons	1		
Lemme : nëis	4	4	
neis	4		
Lemme : none1	6	4	
noneins	4		
nonains	2		
Lemme : tel	177	3	
tel	103		
tele	32		
tieus	28		
teles	7		
teil	3		
atieus	1		
tieuz	1		
tiels	1		
teus	1		
Lemme : regne	24	3	
regne	19		
reigne	3		
regnes	2		
Lemme : athenes	2	2	
atheines	2		
Lemme : charlemagne	2	2	
charlemeine	2		
Lemme : consule	17	2	
conceles	5		
conseles	4		
consele	3		
concele	2		
conseile	2		
conselle	1		
Lemme : encore	131	1	
encore	126		
encor	2		
encores	2		
eincore	1		
Lemme : orgoillos	4	1	
orguilleus	3		
orgueilleus	1		
Lemme : plegement	1	1	
pleignement	1		
Lemme : mortagne	3	1	
mortaigne	2		
morteigne	1		
Lemme : foie2	77	1	
foiz	66		
foie	6		
foïe	2		
foies	1		
feiz	1		
fois	1		
Lemme : volille	1	1	
voleilles	1		
Lemme : covenable	5	1	
covignable	2		
covegnables	1		
covenable	1		
couveignable	1		
Lemme : cler	16	1	
clere	7		
clers	5		
cler	3		
cleirs	1		
Lemme : lé	4	1	
lee	2		
lees	1		
leiz	1		
Lemme : moinsné	1	1	
meinsnez	1		
			
			
avu  > au, eu, oi - essai sur poi §2			
			
Mot	Nombres d'occurrences total	Nombre d'occurrences	
Lemme : besoignos	11	11	
besoigneus	9		
besoigneuz	2		
Lemme : oisel	9	7	
oiseaus	7		
oisel	2		
Lemme : chamoil	12	7	
chameus	7		
chamel	5		
Lemme : joios	5	5	
joieuse	2		
joieus	2		
joïeus	1		
Lemme : orgoillos	4	4	
orguilleus	3		
orgueilleus	1		
Lemme : poi	50	3	
pou	39		
poi	8		
peu	3		
Lemme : voisos	3	3	
voiseus	2		
viseus	1		
Lemme : angoissos	2	2	
angoisseus	2		
Lemme : oisos	2	2	
oiseuses	1		
oiseuse	1		
Lemme : chandoile	2	1	
chaudele	1		
chandele	1		
Lemme : roiaume	1	1	
roiaume	1		
Lemme : poissonel	1	1	
pissonniaus	1		
Lemme : enoios	1	1	
