o+l + consonne > pic.au $23
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : soleil	10	2
soleil	7	
solauz	2	
soleuz	1	
Lemme : anatolius	3	1
anatolius	1	
antiolus	1	
aurelius	1	
Lemme : estoupail	1	1
estoupaus	1	

oi, ui $24

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : poissant	23	18
puissanz	17	
poissanz	5	
puissant	1	
Lemme : poissance	9	6
puissance	6	
poissance	3	
Lemme : orgoillos	4	3
orguilleus	3	
orgueilleus	1	

O fermé sous l’influence de yod > oi, o pic. $27
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : soi1	855	852
s	428	
se	424	
soi	3	
Lemme : poi	50	42
pou	39	
poi	8	
peu	3	
Lemme : loi3	31	28
loy	28	
lois	2	
loi	1	
Lemme : poissant	23	18
puissanz	17	
poissanz	5	
puissant	1	
Lemme : chamoil	12	12
chameus	7	
chamel	5	
Lemme : moins	10	10
meins	7	
meinz	2	
mendres	1	
Lemme : lointain	10	8
lonteignes	3	
lontaines	2	
lonteines	1	
lontaine	1	
lointaine	1	
lontaignes	1	
lointaignes	1	
Lemme : poissance	9	6
puissance	6	
poissance	3	
Lemme : ambroise	4	4
ambroses	3	
ambrose	1	
Lemme : orgoillos	4	4
orguilleus	3	
orgueilleus	1	
Lemme : genoil	4	4
jenous	2	
genouz	1	
genous	1	
Lemme : tempoire	7	3
tempoire	4	
tempore	2	
temporie	1	
Lemme : chandoile	2	2
chaudele	1	
chandele	1	
Lemme : paroisse	2	2
parroce	1	
parosse	1	
Lemme : apostoile	13	2
apostoiles	9	
apostole	2	
apostoile	2	
Lemme : croistre	12	1
croistre	3	
creüe	2	
curez	2	
crurent	1	
cremor	1	
crasse	1	
creüs	1	
croissoient	1	
Lemme : voillance	1	1
voellance	1	
Lemme : poissonel	1	1
pissonniaus	1	
Lemme : nonsavoir	1	1
nonsachanz	1	
Lemme : enoios	1	1
annieuse	1	
Lemme : memoire	5	1
memoire	4	
memorie	1	
Lemme : voisos	3	1
voiseus	2	
viseus	1	
Lemme : avoine	1	1
avaines	1	
Lemme : amboise	1	1
embaise	1	
Lemme : gascoigne	4	1
gascoigne	3	
gascogne	1	
Lemme : foie2	77	1
foiz	66	
foie	6	
foïe	2	
foies	1	
feiz	1	
fois	1	
Lemme : soissante	1	1
sessante	1	
Lemme : moinet1	1	1
moniot	1	
Lemme : moinsné	1	1
meinsnez	1	
Lemme : orgoillosement	1	1
orguelleusement	1	
Lemme : honoire	3	1
honoires	2	
honores	1	

Alternance graphique o/ou + nasale $28
Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : comencier	245	24
comença	91	
conmença	44	
comencierent	29	
conmencierent	25	
coumença	15	
coumence	6	
comence	4	
conmence	4	
comencie	3	
coumencierent	2	
conmençames	2	
començai	2	
conmencié	2	
comencier	2	
comencié	2	
conmencier	1	
conmençast	1	
conmança	1	
començames	1	
commença	1	
comenciez	1	
conmanç	1	
conmencent	1	
començoient	1	
coumençoit	1	
comanç	1	
començoit	1	
Lemme : comander	165	8
comanda	56	
conmanda	34	
comandé	14	
comande	7	
comanç	7	
comanderent	5	
conmandé	5	
comandast	4	
coumanda	4	
comant	4	
conmande	3	
conmander	2	
conmandoit	2	
conmanderent	2	
conmandez	1	
conmanderoit	1	
coumanç	1	
coumada	1	
comandoit	1	
coumant	1	
comandes	1	
conmandas	1	
comandassent	1	
conmandast	1	
comandas	1	
comandera	1	
comandee	1	
coumandé	1	
comandees	1	
comandastes	1	
Lemme : doner	186	4
dona	39	
doner	28	
donee	17	
donoit	14	
donast	14	
doné	14	
donerent	8	
donez	7	
done	7	
doinst	6	
donees	5	
donroit	3	
donrons	3	
donassent	3	
douner	2	
donoient	2	
doinses	2	
donons	2	
dounee	1	
donra	1	
donames	1	
doing	1	
doinsiez	1	
donas	1	
donés	1	
douna	1	
donner	1	
donrai	1	
Lemme : comandement	49	3
comandement	14	
comandemenz	12	
conmandement	11	
conmandemenz	8	
coumandement	2	
coumandemenz	1	
conmandemens	1	
Lemme : prometre	14	2
promis	6	
promise	3	
promist	2	
proumistrent	1	
proumist	1	
promettent	1	
Lemme : onor	39	2
oneur	22	
honeur	9	
honor	3	
