Graphie du mot Dieu
Lemme : dieu	195
Deu	112
Dex	79
Diu	2
Dé	1
Deus	1

Graphie du mot lieu
Lemme : lieu	142
leu	95
leus	26
liu	13
lius	4
lieu	3
lieus	1

§10 Réduction de e ouvert libre en i
Agnies	1	Agniés 
Alexandrie	6	Alixandre Alexandre 
Armenie	3	Hermenie Armenee Armenie 
Asie	4	Aise Almasse 
Babilonie	2	Babiloine Babyloine 
Dieudonné	5	Deudoné Deudonez Dedonés 
Ethyopie	1	Ethyope 
Lycie	1	Lisce 
Marsilie	1	Marselle 
Maximien	5	Maximiens Maxime 
Mercurie	2	Mercurie Mercurius 
Nepotien	6	Nepotianum Nepotiens 
Nursie	1	Nurse 
Pierre	36	Pierre Pere Peres ﻿Pere 
Syrie	1	Syre 
Valentinien	10	Valentinien Valentiniens Valentiens Veredemus Nemausense 
abaissier	7	abessie abesse abessa abessier abessoit 
abeie	67	abeïes abeïe abbeïe abbeïes 
acompagnier	4	acompaigna acompaignierent acompaigniés 
acomunier	2	acomenier acommenia 
acouchier	3	acoucha 
adaignier	1	adeigna 
adrecier	1	adreces 
agaitier	4	aguetier agaitoit aguaitoit 
agenoillier	8	ajenoilla agenoilla agenoilliez ajenolla ajenoilliez 
aidier	35	aidoit aidié aidier aidie aidoient aïde aidast aidierent eidier aida 
aisier	1	asent 
alaitier	5	alaitoit aletoit aletier alaitai aletai 
alaschier	6	alaschoit alassoit alascha alasser 
amenuisier	6	amenuisie amenuiseront amenuisent 
amoliier	2	amoloiés amoloier 
anciien	11	ancien anciens ancïens anciene ancienes 
anoncier	23	annoncier anoncier anoncie anoncierent anonciez annonce annonçons anonce anonçoit anonça annonçoient 
anonciier	1	anonçanz 
antiene	2	antevene antiene 
apaisier	12	apesies apeisie apaisie apaisoit apesie apeisier apaisast apaisa apesiez apesa 
apareillier1	31	aparellierent aparelloient aparellier aparellie apareillé aparelliez apareilliez appareillies apareillié aparellié aparelloit apareillie apareillierent apareillier Apareilliez apareilloient apareilles apareillies 
aprochier	21	aprochier aprocier aproçoient aprocha aproce aprochierent aprochié aproche aprochie aprochoit aprochiez aproces aproça 
aproismier	19	aproismier aproisma aproismast aproisme aproismierent apresser 
araisnier	1	aresna 
arrachier	3	errachoient errachié errachier 
assasiier	1	assazez 
assoagier	3	assouagoit asouaga assoagerai 
atachier2	5	atachié atachiez atachie 
atargier	12	atargiez atargier atarja atargierent atarge atargié 
atochier	14	atouchier atouçoient atouchoit atouchiez atouche atouchié atouchast 
baillier	13	baillast bailla baillié baillie baillier baillierent 
baisier	15	besa besié beisierent baisai besiez baisier besier baisa besoit baisoit 
baissier	1	bessa 
balancier	1	balance 
batisier	40	baptiziés baptisiez baptizier baptiziez baptizast baptizassent baptize baptizierent baptizie baptiza baptirent Baptizier 
bienëuré	10	beneüré beneüree beneürez Beneüreus beneüreus beneürés 
blecier	8	bleciez blecié bleçast blecier bleça 
boisier1	3	boisier boisié boisiez 
brisier	16	brisierent brisies brisiez brisier brisa brisie brisiés 
cerchier	4	cerchassent cercherent cerchier cercha 
chacier	23	chacierent chaçassent chaça chaçoit chaçoient chacier chacié chaciez chaças 
chaiere	2	chaere 
changier	2	chanja change 
chargier	20	chargie charchié charchast charga charchies charcha charchiez chargies charchier 
chastiier	8	chastiiés chastier chastiez chastioient chastoier chastia chastoia chastioit 
chief1	26	chief chiés cief 
chiere	2	chiere chaere 
ciel	57	ciel cius cieus ciels 
clochier2	2	clochoit 
combrisier	9	combrisiez combrisassent combrises combrisa combrisserai 
comencier	245	comence comença conmença conmencierent coumença comencierent coumencierent comencie conmencier conmence coumence conmençames començai conmençast conmança conmencié començames comencier commença conmanç comenciez conmencent comencié començoient coumençoit comanç començoit 
conseillier1	5	conseillast conseilla consaut 
convoiier	3	convoia convoier 
corcier	1	corçoit 
corrigier	1	corriger 
corrocier	26	corrociez corrocier corroça corroce corrouçast corroceroit corroces corrocié corrocierent corroçoit 
couchier	45	couchié coucha couça couchierent couce coucierent couchiez couchoit acouchie couchier couchast 
covoitier	13	covoita covoitast couvoite covoitoit covoite covoitié covoitera covoitassent 
criembre	25	cremirai cremoient criem cremist cremirent cremoit cremisse cremir cremez cremi cremissent criembre criement 
cuidier1	85	cuident cuidoient cuida cuidoit cuidissiez cuidiez cuidié cuidast quiç cuit cuiç cuidierent cuidames cuidier cuides Cuidiez cuidons cuidissions quidai cuidoie Cuides 
debrisier	7	debrisa debrisier debrisassent debrissa 
dediier	2	dedier dedia 
defroissier	3	defroiscier defroissoit defroisça 
deignier	14	deigna degne deignie deigne degnast deignast deignes deignoit 
delaissier	2	delessoies delessoit 
denoiier	2	denioit denoier 
depecier	16	despechier depechier despecié depecier depecheroit depeçassent depecheroient depeçoient despeça depecierent 
depriier	7	deprions deproions deproi depri deproit 
deschaucier	1	deschauça 
descirier	7	desciré desciree descirez descirer desciroit desciroient 
desdeignier	2	desdeigna desdeignassent 
desliier	11	deslia deslié desliast desliier 
despoillier	2	despoillera despoulle 
desvoiier1	2	desvoie desvoia 
dieu	194	Dex Deu deu dex Diu Dé 
dieuesse	2	diuesses diuesse 
ebrieu	8	ebreu ebriu ebrieu ebrieus 
embracier	4	embraça enbracier 
empirier	2	empire empiriez 
encerchier	1	encherchast 
enchaucier	1	enchaucié 
encovencier	1	encovença 
enforcier1	1	enforçassent 
