																																																																																																																											
																																																																																																																											
-ilius , -ilis > pic. ius, ieus																																																																																																																											
piu	16	pius	12	piue	1	piu	3																																																																																																																				
religïos	16	religieuse	5	religieus	7	religieusement	1	Pelagie	1	relegieus	2																																																																																																																
Arrius	1	Arrius	1																																																																																																																								
Rurtius	1	Rurtius	1																																																																																																																								
lieu	142	liu	13	leu	95	lius	4	leus	26	lieu	3	lieus	1																																																																																																														
vieil	25	viel	11	vius	1	vielz	9	viels	1	viez	3																																																																																																																
glorïos	14	glorieuse	10	glorieus	3	glorieusement	1																																																																																																																				
autel2	35	autel	33	autieus	2																																																																																																																						
autel1	11	autel	7	autieus	2	autele	1	auteus	1																																																																																																																		
tel	177	tel	101	tele	31	tieus	27	Tel	2	teles	7	Tele	1	atieus	1	tieuz	1	tiels	1	teil	3	teus	1	Tieus	1																																																																																																		
Arborius	5	Arborius	4	Priu	1																																																																																																																						
crüel	19	cruel	4	cruieus	3	cruele	5	cruiels	2	cruielz	2	crueles	2	crueus	1																																																																																																												
Anatolius	3	Anatolius	1	Antiolus	1	Aurelius	1																																																																																																																				
precïos	14	precieuses	9	precieus	4	precieuse	1																																																																																																																				
lincel	1	lincieus	1																																																																																																																								
Lidorius	1	Lidorius	1																																																																																																																								
ciel	57	ciel	45	cius	4	cieus	7	ciels	1																																																																																																																		
celestïal	11	celestieles	1	celestieus	2	celestiel	8																																																																																																																				
enoios	1	annieuse	1																																																																																																																								
Paulin	3	Paulins	1	Paulius	1	Paulin	1																																																																																																																				
mieus	17	mielz	13	mius	2	miuz	2																																																																																																																				
Evanchius	2	Evanchius	2																																																																																																																								
joios	5	joieuse	2	joieus	2	joïeus	1																																																																																																																				
Refrigerius	6	Refrigerius	6																																																																																																																								
Euvagius	1	Euvagius	1																																																																																																																								
Mercurie	2	Mercurie	1	Mercurius	1																																																																																																																						
voloir	311	voloit	97	voelent	7	vout	60	voloient	21	vousist	14	veut	2	voel	22	volez	8	volt	6	voldrai	1	voudroit	7	volons	4	voudrent	7	velt	1	voloies	4	voudroie	4	voil	1	voloirs	1	volions	1	voeil	3	voellent	1	vuelent	1	voudrai	1	volsist	1	viut	4	vius	4	voudroiz	1	veus	4	voloir	3	vousisses	1	Vousist	1	voloie	1	voudra	3	Volez	1	voudrions	2	voelle	5	vousissent	2	vourent	1	veul	1	vousistes	1	vousis	1																																								
Mercure	3	Mercurius	1	Mercurie	2																																																																																																																						
Andrius	3	Andrius	1	Andriu	2																																																																																																																						
peril	16	peril	15	perius	1																																																																																																																						
quel1	88	quel	34	qele	9	queus	4	quels	5	qel	4	queles	2	qeles	3	qels	1	Qeles	1	quele	9	quielz	1	qieus	3	quieus	2	Qele	1	Quel	1	Quiels	1	Ques	1	ques	3	quiel	1	Qieus	2																																																																																		
ebrieu	8	ebreu	3	ebriu	1	ebrieu	2	ebrieus	2																																																																																																																		
soloir	36	soloient	9	soloies	1	soloit	23	sieus	1	soliez	1	suel	1																																																																																																														
cele	25	celle	16	ceelle	1	cele	2	celes	1	cieus	2	ceaille	3																																																																																																														
veredemius	3	Veredemius	1	Veredemium	2																																																																																																																						
Flavius	2	Flavi	1	Flavius	1																																																																																																																						
