Graphie du mot Dieu $9

lemme : dieu	Nombres d'occurrences : 195
dé	1	
deus	1	
diu	2	
dex	79	
deu	112	

Graphie du mot lieu $25

lemme : lieu	Nombres d'occurrences : 142
lieus	1	
lieu	3	
lius	4	
liu	13	
leus	26	
leu	95	

 Réduction de e ouvert libre en i ou en e §10

Mot	Nombres d'occurrences total	Nombre d'occurrences
Lemme : trespercier	1	1
trespercerai	1	
Lemme : changier	1	1
chanja	1	
Lemme : empirier	2	1
empire	1	
empiriez	1	
Lemme : encovencier	1	1
encovença	1	
Lemme : maximien	5	1
maxime	1	
maximiens	4	
Lemme : corcier	1	1
corçoit	1	
Lemme : parier	1	1
pardite	1	
Lemme : antiene	2	1
antevene	1	
antiene	1	
Lemme : merveillier	1	1
merveil	1	
Lemme : baissier	1	1
bessa	1	
Lemme : grief	15	1
griés	1	
gries	1	
griez	5	
grief	8	
Lemme : entrelaissier	3	1
entrelesserai	1	
entrelessier	2	
Lemme : targier1	1	1
tarjast	1	
Lemme : prinseignier	4	1
presigniez	1	
presignier	1	
prensignast	1	
prensigniez	1	
Lemme : pareillier1	1	1
pareillé	1	
Lemme : enchaucier	1	1
enchaucié	1	
Lemme : agnies	1	1
agniés	1	
Lemme : moillier1	1	1
mollie	1	
Lemme : flairier2	1	1
flairanz	1	
Lemme : plegier	1	1
plaiés	1	
Lemme : deschaucier	1	1
deschauça	1	
Lemme : eslaissier	2	1
esleeciez	1	
esleeçassent	1	
Lemme : lancier3	1	1
lançoient	1	
Lemme : adrecier	1	1
adreces	1	
Lemme : regaitier	1	1
regeta	1	
Lemme : nepotien	6	1
nepotianum	1	
nepotiens	5	
Lemme : aisier	1	1
asent	1	
Lemme : enforcier1	1	1
enforçassent	1	
Lemme : adaignier	1	1
adeigna	1	
Lemme : corrigier	1	1
corriger	1	
Lemme : entier	12	1
entiere	1	
entierz	1	
entirement	1	
entiers	3	
entierement	3	
entier	3	
Lemme : raplegier	1	1
raplegement	1	
Lemme : gäaignier1	3	1
gaaignier	1	
gaagnier	1	
gaaigna	1	
Lemme : boisier1	3	1
boisier	1	
boisié	1	
boisiez	1	
Lemme : prisier	1	1
proisoient	1	
Lemme : gracier	7	1
gracia	1	
gracierent	6	
Lemme : araisnier	1	1
aresna	1	
Lemme : deschargier	1	1
descharchiez	1	
Lemme : redrecier	2	1
redreça	1	
redreciez	1	
Lemme : prononcier	1	1
prononcié	1	
Lemme : renoncier	3	1
renoncier	1	
renoncierent	1	
renonça	1	
Lemme : esforcier2	3	1
esforcierent	1	
efforçoit	1	
efforcierent	1	
Lemme : anuitier	1	1
anoientira	1	
Lemme : profetisier	1	1
prophetiza	1	
Lemme : acomunier	2	1
acommenia	1	
acomenier	1	
Lemme : rebaillier	1	1
rebailla	1	
Lemme : soshaucier	1	1
sozhauça	1	
Lemme : haucier	2	2
hauça	2	
Lemme : delaissier	2	2
delessoies	1	
delessoit	1	
Lemme : agaitier	4	2
agaitoit	1	
aguaitoit	1	
aguetier	2	
Lemme : negier	2	2
negie	2	
Lemme : traitier	3	2
tretié	1	
traitier	1	
treita	1	
Lemme : desdeignier	2	2
desdeigna	1	
desdeignassent	1	
Lemme : matiere	2	2
matere	2	
Lemme : irier	2	2
iriés	1	
irié	1	
Lemme : äirier	2	2
aïrié	1	
aïres	1	
Lemme : froissier	3	2
froischier	1	
froisça	1	
froissiez	1	
Lemme : despoillier	2	2
despoillera	1	
despoulle	1	
Lemme : justicier2	2	2
justicent	1	
justiçoit	1	
Lemme : sisiesme	4	2
sisimes	1	
sisiesme	1	
sissieme	1	
sissime	1	
Lemme : defroissier	3	2
defroiscier	1	
defroissoit	1	
defroisça	1	
Lemme : vengier	3	2
vengier	1	
venge	1	
venga	1	
Lemme : menacier	2	2
manaces	1	
manace	1	
Lemme : espargnier	2	2
espargnerai	1	
espargnoit	1	
Lemme : tencier	5	2
tencier	1	
tenchier	1	
tencent	1	
tencierent	2	
Lemme : assoagier	3	3
assouagoit	1	
asouaga	1	
assoagerai	1	
Lemme : embracier	4	3
enbracier	1	
embraça	3	
Lemme : blecier	8	3
blecié	1	
bleçast	1	
bleça	1	
blecier	2	
bleciez	3	
Lemme : veillier2	5	3
veillast	1	
veillierent	1	
veillier	1	
voeille	1	
veillié	1	
Lemme : targier2	3	3
targerai	1	
targes	1	
tarja	1	
Lemme : jugier	3	3
juchier	1	
juchiés	1	
juches	1	
Lemme : nagier	3	3
najoient	1	
nagant	1	
naja	1	
Lemme : acompagnier	4	3
acompaignierent	1	
acompaigniés	1	
acompaigna	2	
Lemme : seignier	4	4
seigne	1	
seignes	1	
seigna	2	
Lemme : porchacier	4	4
porchaceroient	1	
porchaçasses	1	
porchaça	2	
Lemme : resoignier	4	4
resoignoit	1	
resoigna	1	
resoigne	1	
resoignons	1	
Lemme : esloignier	5	4
eslongiés	1	
esloigniez	1	
esloingna	1	
esloignié	1	
eslongent	1	
Lemme : alaitier	5	4
alaitoit	1	
aletoit	1	
aletier	1	
alaitai	1	
aletai	1	
Lemme : debrisier	7	5
debrisassent	1	
debrissa	1	
debrisier	2	
debrisa	3	
Lemme : essaucier	11	5
essauce	1	
essaucerai	1	
essauça	1	
essaucie	2	
essaucier	2	
essauciez	4	
Lemme : conseillier1	5	5
conseilla	1	
consaut	1	
conseillast	3	
Lemme : agenoillier	8	6
agenoilliez	1	
ajenolla	1	
ajenoilliez	1	
agenoilla	2	
ajenoilla	3	
Lemme : esveillier	14	6
esveilliez	1	
esvellastes	1	
revellierent	1	
esvellast	1	
esvella	1	
esvelliez	1	
esveillier	2	
esveilla	3	
esveillierent	3	
Lemme : amenuisier	6	6
amenuiseront	1	
amenuisent	1	
amenuisie	4	
Lemme : abaissier	7	6
abesse	1	
abessa	1	
abessier	1	
abessoit	1	
abessie	3	
Lemme : herbergier	9	6
herberge	1	
herbergeroit	1	
herbergiez	1	
herberja	2	
herberga	2	
herbergier	2	
Lemme : atargier	12	6
atargiez	1	
atargierent	1	
atarge	1	
atargié	2	
atarja	3	
atargier	4	
Lemme : combrisier	9	6
combrisassent	1	
combrises	1	
combrisserai	1	
combrisiez	3	
combrisa	3	
Lemme : baisier	15	7
besié	1	
beisierent	1	
baisai	1	
besiez	1	
baisa	1	
besoit	1	
baisoit	1	
besa	2	
baisier	3	
besier	3	
Lemme : laidengier	13	7
laidengierent	1	
laidengié	1	
ledengier	1	
leidenga	1	
laidenja	1	
leidengiez	1	
laidengassent	1	
leidengoient	1	
laidengoit	2	
laidengier	3	
Lemme : haitier	17	7
hertie	1	
heitez	1	
haitié	2	
haitiez	2	
hetiez	2	
heitié	3	
heitiez	6	
Lemme : descirier	7	7
desciré	1	
desciree	1	
descirez	1	
desciroit	1	
desciroient	1	
descirer	2	
