
Les déterminants définis


le nb.5635
cas	masc	fém	neutre
CSS	le (nb. 3, 0%), l (nb. 8, 1%), li (nb. 1233, 99%)	le (nb. 1, 0%), li (nb. 2, 1%), l (nb. 42, 13%), la (nb. 289, 87%)	
CRS	el (nb. 1, 0%), l (nb. 342, 33%), le (nb. 679, 66%)	le (nb. 6, 0%), l (nb. 400, 20%), la (nb. 1554, 79%)	le (nb. 1, 100%)	
CIS			
CSP	les (nb. 6, 2%), li (nb. 375, 98%)	les (nb. 36, 100%)		
CRP	lez (nb. 1, 0%), les (nb. 340, 100%)	lez (nb. 1, 0%), les (nb. 315, 100%)	
CIP			

en1+le nb.174
cas	masc	fém	neutre
CSS			
CRS	ou (nb. 1, 1%), el (nb. 125, 99%)			
CIS			
CSP				
CRP	es (nb. 28, 100%)	es (nb. 20, 100%)	
CIP			

de+le nb.664
cas	masc	fém	neutre
CSS			
CRS	dou (nb. 3, 1%), del (nb. 404, 99%)	del (nb. 7, 100%)	del (nb. 7, 100%)	
CIS			
CSP				
CRP	del (nb. 1, 1%), des (nb. 165, 99%)	des (nb. 77, 100%)	
CIP			

a3+le nb.527
cas	masc	fém	neutre
CSS			
CRS	al (nb. 12, 3%), au (nb. 349, 97%)	as (nb. 1, 100%)	Au (nb. 1, 100%)	
CIS			
CSP				
CRP	as (nb. 119, 100%)	as (nb. 45, 100%)	
CIP			


Les déterminants indéfinis


un nb.808
cas	masc	fém	neutre
CSS	Un (nb. 1, 1%), uns (nb. 124, 99%)	une (nb. 35, 100%)	
CRS	un (nb. 371, 100%)	une (nb. 268, 100%)	un (nb. 3, 100%)	
CIS			
CSP		unes (nb. 3, 100%)		
CRP	uns (nb. 1, 100%)	unes (nb. 2, 100%)	
CIP			


Les déterminants demonstratifs


icel nb.9
cas	masc	fém	neutre
CSS			
CRS	icel (nb. 3, 100%)	icele (nb. 4, 100%)		
CIS			
CSP				
CRP		icez (nb. 1, 50%), ices (nb. 1, 50%)	
CIP			

cel nb.313
cas	masc	fém	neutre
CSS	cil (nb. 39, 100%)	cele (nb. 21, 100%)	
CRS	celui (nb. 1, 1%), cel (nb. 102, 99%)	cele (nb. 127, 100%)		
CIS	celui (nb. 3, 100%)		
CSP	cil (nb. 3, 100%)			
CRP	ceus (nb. 16, 100%)	celes (nb. 1, 100%)	
CIP			

cest nb.415
cas	masc	fém	neutre
CSS	cist (nb. 1, 8%), cest (nb. 2, 15%), Cis (nb. 10, 77%)	ceste (nb. 23, 100%)	
CRS	cest (nb. 115, 100%)	ceste (nb. 183, 100%)		
CIS			
CSP	ces (nb. 1, 50%), cez (nb. 1, 50%)	ces (nb. 1, 20%), cez (nb. 4, 80%)		
CRP	cez (nb. 9, 45%), ces (nb. 11, 55%)	ces (nb. 22, 41%), cez (nb. 32, 59%)	
CIP			

ice2 nb.1
cas	masc	fém	neutre
CSS			
CRS	ice (nb. 1, 100%)			
CIS			
CSP				
CRP			
CIP			

ce1 nb.39
cas	masc	fém	neutre
CSS			
CRS	ce (nb. 29, 100%)		ce (nb. 10, 100%)	
CIS			
CSP				
CRP			
CIP			

Les détermiants possessifs


lor2 nb.412
cas	masc	fém	neutre
CSS	lor (nb. 16, 100%)	lor (nb. 5, 100%)	
CRS	lor (nb. 43, 100%)	leur (nb. 1, 3%), lor (nb. 39, 98%)	
CIS			
CSP	lor (nb. 13, 100%)	leur (nb. 1, 33%), lor (nb. 2, 67%)	
CRP	leur (nb. 2, 2%), lor (nb. 85, 98%)	leur (nb. 4, 2%), lor (nb. 201, 98%)	
CIP			

son4 nb.1361
cas	masc	fém	neutre
CSS	ses﻿ (nb. 1, 2%), si (nb. 1, 2%), Son (nb. 5, 10%), Ses (nb. 45, 87%)	s (nb. 4, 11%), sa (nb. 34, 89%)	
CRS	ses (nb. 1, 0%), s (nb. 1, 0%), son (nb. 299, 99%)	son (nb. 1, 0%), s (nb. 85, 15%), sa (nb. 490, 85%)	
CIS			
CSP	ses (nb. 3, 9%), si (nb. 29, 91%)	ses (nb. 5, 100%)	
CRP	ses (nb. 201, 100%)	﻿ses (nb. 1, 1%), s (nb. 1, 1%), ses (nb. 154, 99%)	
CIP			

nostre nb.564
cas	masc	fém	neutre
CSS	nos (nb. 2, 2%), nostre (nb. 119, 98%)	nostre (nb. 3, 100%)	
CRS	nostre (nb. 385, 100%)	noz (nb. 1, 6%), nostre (nb. 16, 94%)	
CIS			
CSP	noz (nb. 2, 33%), nos (nb. 4, 67%)	nos (nb. 1, 100%)	
CRP	noz (nb. 1, 6%), nostre (nb. 2, 13%), nos (nb. 13, 81%)	noz (nb. 2, 13%), nos (nb. 13, 87%)	
CIP			

mon1 nb.144
cas	masc	fém	neutre
CSS	mon (nb. 1, 6%), mes (nb. 16, 94%)	m (nb. 1, 33%), ma (nb. 2, 67%)	
CRS	mon (nb. 41, 100%)	me (nb. 1, 2%), m (nb. 7, 15%), ma (nb. 39, 83%)	
CIS			
CSP	Mi (nb. 6, 100%)	mes (nb. 3, 100%)	
CRP	mes (nb. 16, 100%)	mes (nb. 11, 100%)	
CIP			

ton4 nb.139
cas	masc	fém	neutre
CSS	ton (nb. 1, 13%), tes (nb. 7, 88%)	t (nb. 2, 18%), ta (nb. 9, 82%)	
CRS	t (nb. 1, 3%), ton (nb. 35, 97%)	t (nb. 2, 4%), ta (nb. 50, 96%)	
CIS			
CSP	ti (nb. 3, 100%)	tes (nb. 2, 100%)	
CRP	tez (nb. 1, 7%), tes (nb. 14, 93%)	tes (nb. 12, 100%)	
CIP			

vostre nb.31
cas	masc	fém	neutre
CSS	vostre (nb. 3, 100%)		
CRS	vos (nb. 1, 13%), vostre (nb. 7, 88%)	vostre (nb. 7, 100%)	
CIS			
CSP	vos (nb. 1, 50%), vostre (nb. 1, 50%)	vostre (nb. 1, 100%)	
CRP	voz (nb. 1, 33%), vos (nb. 2, 67%)	vostre (nb. 1, 14%), voz (nb. 1, 14%), vos (nb. 5, 71%)	
CIP			

nos nb.1
cas	masc	fém	neutre
CSS			
CRS			
CIS			
CSP			
CRP	nos (nb. 1, 100%)		
CIP			

Les adjectifs possessifs


mien nb.4
cas	masc	fém	neutre
CSS	miens (nb. 2, 100%)		
CRS	mien (nb. 2, 100%)		
CIS			
CSP			
CRP			
CIP			

nostre nb.72
cas	masc	fém	neutre
CSS	nostres (nb. 1, 5%), nostre (nb. 21, 95%)		
CRS	nostre (nb. 45, 100%)	nostre (nb. 3, 100%)	
CIS			
