
Les pronoms personnels


PERS.=1
nos1 nb.445
cas	masc	fém	neutre

CSS			
CRS			
CIS			
CPS	noz (nb. 1, 0%), nous (nb. 9, 4%), nos (nb. 213, 96%)		
CPR	nous (nb. 1, 2%), nos (nb. 53, 98%)	nos (nb. 1, 100%)	
CPI	noz (nb. 2, 1%), nous (nb. 18, 11%), nos (nb. 146, 88%)	nos (nb. 1, 100%)	

PERS.=1
je nb.884
cas	masc	fém	neutre

CSS	moi (nb. 1, 0%), j (nb. 17, 3%), Je (nb. 577, 97%)	j (nb. 1, 4%), je (nb. 25, 96%)	
CRS	moi (nb. 2, 2%), m (nb. 51, 38%), me (nb. 80, 60%)	m (nb. 1, 13%), moi (nb. 2, 25%), me (nb. 5, 63%)	
CIS	m (nb. 14, 12%), me (nb. 46, 40%), moi (nb. 56, 48%)	m (nb. 1, 17%), moi (nb. 2, 33%), me (nb. 3, 50%)	
CPS			
CPR			
CPI			

PERS.=2
vos nb.438
cas	masc	fém	neutre

CSS	vous (nb. 1, 33%), Vouz (nb. 1, 33%), vos (nb. 1, 33%)	vos (nb. 2, 100%)	
CRS	vos (nb. 1, 100%)		
CIS	vos (nb. 3, 100%)		
CPS	vous (nb. 12, 6%), voz (nb. 19, 10%), vos (nb. 155, 83%)	vos (nb. 4, 100%)	
CPR	voz (nb. 6, 20%), vous (nb. 6, 20%), vos (nb. 18, 60%)		
CPI	voz (nb. 4, 2%), vous (nb. 15, 7%), vos (nb. 189, 91%)	vos (nb. 1, 100%)	

PERS.=2
tu nb.543
cas	masc	fém	neutre

CSS	toi (nb. 1, 0%), tu (nb. 309, 100%)	tu (nb. 3, 100%)	
CRS	toi (nb. 2, 2%), t (nb. 37, 31%), te (nb. 80, 67%)	t (nb. 2, 40%), te (nb. 3, 60%)	
CIS	t (nb. 2, 2%), te (nb. 39, 37%), toi (nb. 64, 61%)	te (nb. 1, 100%)	
CPS			
CPR			
CPI			

PERS.=3
soi1 nb.856
cas	masc	fém	neutre

CSS			
CRS	s (nb. 249, 45%), se (nb. 304, 55%)	se (nb. 14, 33%), s (nb. 28, 67%)	
CIS	soi (nb. 3, 100%)		
CPS			
CPR	se (nb. 106, 42%), s (nb. 147, 58%)	se (nb. 1, 20%), s (nb. 4, 80%)	
CPI			

PERS.=3
il nb.6541
cas	masc	fém	neutre

CSS	il (nb. 2544, 100%)	elle (nb. 29, 13%), ele (nb. 187, 87%)	il (nb. 15, 100%)
CRS	lui (nb. 6, 1%), l (nb. 269, 35%), le (nb. 485, 64%)	li (nb. 1, 1%), le (nb. 15, 13%), l (nb. 30, 27%), la (nb. 68, 60%)	l (nb. 18, 23%), le (nb. 60, 77%)
CIS	l (nb. 5, 0%), lui (nb. 425, 35%), li (nb. 790, 65%)	lui (nb. 1, 3%), li (nb. 32, 97%)	
CPS	eus (nb. 3, 0%), il (nb. 881, 100%)	elles (nb. 6, 12%), eles (nb. 45, 88%)	
CPR	euz (nb. 1, 1%), les (nb. 190, 99%)	les (nb. 41, 100%)	
CPI	euz (nb. 3, 1%), els (nb. 6, 2%), li (nb. 9, 2%), leur (nb. 10, 3%), eus (nb. 113, 30%), lor (nb. 241, 63%)	elles (nb. 1, 9%), leur (nb. 1, 9%), eles (nb. 4, 36%), lor (nb. 5, 45%)	


Les pronoms demonstratifs


cel nb.597
cas	masc	fém	neutre

CSS	Celui (nb. 5, 3%), cil (nb. 150, 97%)	cele (nb. 9, 100%)	
CRS	celi (nb. 1, 3%), cel (nb. 2, 6%), celui (nb. 30, 91%)	cele (nb. 13, 100%)	
CIS	celi (nb. 1, 2%), celui (nb. 50, 98%)	celi (nb. 1, 100%)	
CPS	cil (nb. 200, 100%)	celes (nb. 3, 100%)	
CPR	celz (nb. 1, 1%), ceuz (nb. 1, 1%), ceaus (nb. 1, 1%), cels (nb. 24, 19%), ceus (nb. 98, 78%)	celes (nb. 4, 100%)	
CPI	ceus (nb. 2, 100%)	celes (nb. 1, 100%)	

icel nb.1
cas	masc	fém	neutre

CSS			
CRS		icele (nb. 1, 100%)	
CIS			
CPS			
CPR			
CPI			

cest nb.12
cas	masc	fém	neutre

CSS	cis (nb. 1, 33%), cist (nb. 2, 67%)		
CRS	cestui (nb. 2, 100%)		
CIS	cestuy (nb. 1, 20%), cestui (nb. 4, 80%)		
CPS	Cist (nb. 2, 100%)		
CPR			
CPI			

ce1 nb.1027
cas	masc	fém	neutre

CSS			C (nb. 9, 5%), Ce (nb. 180, 95%)
CRS	ce (nb. 2, 100%)		çou (nb. 1, 0%), ce (nb. 832, 100%)
CIS			ce (nb. 1, 100%)
CPS		cez (nb. 2, 100%)	
CPR			
CPI			

ça nb.1
cas	masc	fém	neutre

CSS			
CRS			ça (nb. 1, 100%)
CIS			
CPS			
