Nb de leçons divergente entre l'édition et témoin :531		
Nb de leçons en commun avec C2 :125		
Nb de lieux variants en commun avec C2 :141		
Nb de leçons en commun avec C3 :71		
Nb de lieux variants en commun avec C3 :81		
Nb de leçons en commun avec G1 :136		
Nb de lieux variants en commun avec G1 :208		
Nb de leçons en commun avec M1 :118		
Nb de lieux variants en commun avec M1 :184		
		
Nb de leçons en commun avec N :129		
Nb de lieux variants en commun avec N :200		
		
ajout		
50		
Pourcentage : 9.416195856873824		
Nb de leçons en commun avec C2 :8		
Nb de lieux variants en commun avec C2 :12		
		
Nb de leçons en commun avec C3 :3		
Nb de lieux variants en commun avec C3 :4		
		
Nb de leçons en commun avec G1 :8		
Nb de lieux variants en commun avec G1 :14		
		
Nb de leçons en commun avec M1 :3		
Nb de lieux variants en commun avec M1 :11		
		
Nb de leçons en commun avec N :6		
Nb de lieux variants en commun avec N :11		
		
Lemme 	leçon	
qant	et qant (C2 C3 D G1 M1 N)	2
ne misericorde	ne nule misericorde (D G1)	1
se trestretrest 	se trest li seinz hom (D)	1
a sa mere	a sa mere et a son pere (D)	1
en	en une cité en (D)	1
ensivoient	tenoient et ensivoient (D)	1
les oevres seint Martin	les fez saint Martin et ses oeuvres (D)	1
mout	molt forment (C2 D)	1
li	toz les (C2 D)	1
avint	avint il (C2 C3 D)	1
trenchier	a trenchier (D)	1
mostres	nos mostres (D)	1
lor esperance perdue	leur force perdue et leur esperance (D)	1
ses bones exemples	par bone creance et bons essamples (D)	1
faisoient	i fesoient (D)	1
a	avec eus a (D)	1
Qant	Et qant (D)	1
debrisa	le debrisa (D)	1
porent	porent onques (D)	1
mist	si mist (D)	1
evesqe	home qi evesques estoit (D)	1
estoit	estoit il (D)	1
ne	il ne (D)	1
sa bone voellancevolenté	sa grace et sa bone volenté (D)	1
comandast	li conmandast (D G1 M1 N)	1
et grant feste fere	et grant joie fere et grant feste (D)	1
seüst	seüst il (C2 C3 D G1)	1
par ses aguaiz	par ses oeuvres ne par ses angins ne par ses aguez (D)	1
si	et si (D)	1
volt	li volt (D N)	1
en auctorité aussi com un prophete	a bon ausint conme un prophete et en auctorité (D)	1
vint	ce vint (C2 D G1)	1
aporterent	aporterent il (D)	1
vi	li vi (D)	1
beau	molt biau (C2 D)	1
desfendera	le deffendra (D N)	1
disoit	leur disoit (D G1 N)	1
vindrent	i vindrent (D)	1
estoient	i estoient (D G1 M1 N)	1
chantees	chantees pour le mor del seint home (D)	1
de Viane	du rivage de Viene (D)	1
le col a estendre	le col a estendre et la teste (D)	1
trespasserent	les trespasserent (D)	1
ai	i ai (D)	1
removoirlever nena amont treire	lever ne amont trere, mes neant ne leur valut (D)	1
et en vegiles	et en proieres et en vigiles (D)	1
misent	le mistrent (D)	1
estoit aorez	estoit aorez et est encore (D)	1
des siecles	des siecles sanz fin (C2 D G1)	1
		
casAbs		
5		
Pourcentage : 0.9416195856873822		
Nb de leçons en commun avec C2 :3		
Nb de lieux variants en commun avec C2 :3		
		
Nb de leçons en commun avec C3 :3		
Nb de lieux variants en commun avec C3 :3		
		
Nb de leçons en commun avec G1 :1		
Nb de lieux variants en commun avec G1 :2		
		
Nb de leçons en commun avec M1 :3		
Nb de lieux variants en commun avec M1 :3		
		
Nb de leçons en commun avec N :3		
Nb de lieux variants en commun avec N :3		
		
Lemme 	leçon	
nostre Signor	de nostre Seignor (C2 C3 D M1)	1
seint Martin	de seint Martin (C2 C3 D)	1
		
erreur		
3		
Pourcentage : 0.5649717514124294		
Nb de leçons en commun avec C2 :0		
Nb de lieux variants en commun avec C2 :0		
		
Nb de leçons en commun avec C3 :0		
Nb de lieux variants en commun avec C3 :0		
		
Nb de leçons en commun avec G1 :0		
Nb de lieux variants en commun avec G1 :0		
		
Nb de leçons en commun avec M1 :0		
Nb de lieux variants en commun avec M1 :1		
		
Nb de leçons en commun avec N :0		
Nb de lieux variants en commun avec N :1		
		
Lemme 	leçon	
si ententis	ententis si ententis (D)	1
nostre Sires	nostre Sires nostre Sires (D)	1
misericorde	misericorde misericorde (D)	1
		
etym.		
2		
Pourcentage : 0.3766478342749529		
Nb de leçons en commun avec C2 :0		
