Nb de leçons divergentes entre l'édition et témoin :1664
Nb de leçons en commun avec C2 :51
Nb de lieux variants en commun avec C2 :83
Nb de leçons en commun avec C3 :58
Nb de lieux variants en commun avec C3 :81
Nb de leçons en commun avec D :119
Nb de lieux variants en commun avec D :185
Nb de leçons en commun avec E2 :145
Nb de lieux variants en commun avec E2 :241
Nb de leçons en commun avec F2 :205
Nb de lieux variants en commun avec F2 :371
Nb de leçons en commun avec G1 :581
Nb de lieux variants en commun avec G1 :933
Nb de leçons en commun avec M1 :1664
Nb de lieux variants en commun avec M1 :1663

Nb de leçons en commun avec N :1061
Nb de lieux variants en commun avec N :1293

ajout
220
Pourcentage : 13.221153846153847
Nb de leçons en commun avec C2 :1
Nb de lieux variants en commun avec C2 :4

Nb de leçons en commun avec C3 :3
Nb de lieux variants en commun avec C3 :8

Nb de leçons en commun avec D :6
Nb de lieux variants en commun avec D :17

Nb de leçons en commun avec E2 :7
Nb de lieux variants en commun avec E2 :22

Nb de leçons en commun avec F2 :9
Nb de lieux variants en commun avec F2 :32

Nb de leçons en commun avec M1 :220
Nb de lieux variants en commun avec M1 :220

Nb de leçons en commun avec N :114
Nb de lieux variants en commun avec N :172

Lemme 	leçon
ne	n'en (F2 M1)	2
le grant chemin plenier	le grant chemin plenier et la grant voie
                    batue (G1 M1 N1)	1
gardent	garderent bien (M1 N1)	1
et 	malgré (M1)	1
baptiziés	crestiens ne baptisiés (M1)	1
cels	tous chiaus (M1 N1)	1
les nuz	les nus cui povretés et besoigne destraignoit (M1)	1
donoit tout as povres	donnoit por Dieu as povres (M1)	1
combien	combien de tans (M1)	1
povre 	molt povre (G1 M1 N1)	1
qe son mantel	ne autre creature qu'il li peüst doner que son
                mantel (M1)	1
son mantel par mi	son mantel parmi le moiere (M1)	1
a escharnir	a gaber et a escarnir (M1 N1)	1
oï	ce oï (M1)	1
il	il meïsme (M1 N1)	1
dit	dit qu'il iroit tout desarmés contre ses anemis, si conme
                il l'avoit mis en couvenanche (M1)	1
eus	iaus meïsmes (M1)	1
encore	qui est cil qui doute que (M1 N1)	1
soit plus nostre Sires puissanztouz puissanz	nostre Sires ne soit pius et misericors et
                poissans (M1 N1)	1
seinz Martins	mesire sains Martins (M1 N1)	1
le	l'en (E2 M1)	1
respondi	li respondi (G1 M1 N1)	1
fiance	point de fianche (M1)	1
plus	plus ore (M1)	1
crut	fu convertis et crei (M1 N1)	1
a vraie creance	a vraie foi et a veraie creance (G1 M1 N1)	1
droite voie	a droit chemin et se droite voie (M1)	1
molt	puis molt (F2 G1 M1 N1)	1
meintenant	tantost qu'il ot ce dit (M1)	1
seinz	saint home (E2 G1 M1 N1)	1
batirent	le batirent (F2 M1 N1)	1
arrester	illuec arrester (M1)	1
riule	le riule (M1 N1)	1
granz	molt grans (G1 M1 N1)	1
avoient	avoient orendroit (M1 N1)	1
grant	puis grant (M1)	1
torna	torna laiens (M1)	1
ausint	assamblé en rendirent graces a nostre Segneur (M1 N1)	1
chasteaus	prochains castiaus (M1 N1)	1
venoient	venoit qu'il ne pooit souffrir en nule maniere (M1)	1
deciple	si desciple (D E2 N1 G1 M1 N1)	1
nus	nus d'iaus (M1 N1)	1
s'estoient	faire s'estoient (M1)	1
venue	venue de mengier (M1)	1
conqerre	a conquerre (M1)	1
qi	et quex eglise qui (M1)	1
example prendre	prendre essample de bien (G1 M1)	1
autres	as autres (M1 N1)	1
la glorieuse vie	le glorieuse vie es chiex (M1 N1)	1
avoient	i avoient (F2 M1)	1
les clers	les clers anciens (M1)	1
alumee	alumee et arse (G1 M1 N1)	1
enfoïz	desous ensevelis et enfoïs (M1)	1
martyrs	beneois martyrs (M1)	1
les genz	le pueple et ses genz (M1)	1
cuida	quida et crut (G1 M1 N1)	1
soloient	la souloient (G1 M1 N1)	1
ce	il che (M1)	1
a terre	jus a terre (G1 M1 N1)	1
se porpensoient	se porpensoient et merveilloient (M1)	1
la vertu	le volenté et par le vertu (M1 N1)	1
li hom	li seinz hom (C3 D E2 G1 M1 N1)	1
mescreanz	gens mescreant (M1)	1
genz	genz sarrazines (G1 M1 N1)	1
devoit	le devoit (D F2 M1 N1)	1
uns	li uns d'iaus (M1)	1
