Nb de leçons divergente entre l'édition et témoin :1999
Nb de leçons en commun avec G1 :548
Nb de lieux variants en commun avec G1 :961
Nb de leçons en commun avec M1 :1021
Nb de lieux variants en commun avec M1 :1263

ajout
155
Pourcentage : 7.753876938469234
Nb de leçons en commun avec G1 :35
Nb de lieux variants en commun avec G1 :93

Nb de leçons en commun avec M1 :60
Nb de lieux variants en commun avec M1 :109

Lemme 	leçon
si	et si (G1 M1 N)	2
ont	n'en n'ont (N)	1
le grant chemin plenier	le grant chemin plenier et la grant voie
                batue (G1 M1 N)	1
baptiziés	chevaliers baptisiés ne crestienés (N)	1
les nuz	les nus cui povretés destraignoit et besoigne (N)	1
qe son mantel	ne autre creature que son mantiel (N)	1
baptizier	batisier et lever (N)	1
nostre Signor	Dieu nostre Signeur (N)	1
Si	Et si (G1 N)	1
dit	dit qu'il iroit desarmés encontre les anemis si com il
                avoit mis en covenance (N)	1
encore	qui est cil qui doute que (M1 N)	1
soit plus nostre Sires puissanztouz puissanz	nostre Sires ne soit pius et misericors et
                poissans (M1 N)	1
plus	ore plus (N)	1
a vraie creance	a vraie foi et a veraie creance (G1 M1 N)	1
droite voie	a droite voie et a droit chemin (N)	1
molt	puis molt (G1 M1 N)	1
cremirai	cremira ja (N)	1
meintenant	maintenant qu'il ot ce dit (N)	1
batirent	le batirent (N)	1
granz loenges	molt grans loenges (G1 M1 N)	1
ausint	assamblé en rendirent graces a nostre Segneur (M1 N)	1
chasteaus	prochains castiaus (M1 N)	1
ne	ainc n'en (N)	1
.iiii.	li sains hom avoit .iiiic. (N)	1
en orissons	en orison et en proieres (N)	1
qele citez	quels cités u quels eglise (N)	1
example prendre	example prendre a bien faire (N)	1
ou	u on (N)	1
autres	as autres (M1 N)	1
la glorieuse vie	le glorieuse vie es chiex (M1 N)	1
alumee	alumee et arse (G1 M1 N)	1
enfoïz	desous enfouïs et ensevelis (N)	1
les genz	le pueple et les genz (G1 N)	1
genz	genz sarrazines (G1 M1 N)	1
Sires	Sires cui tu aoures (N)	1
parler	parler et dire (N)	1
et a ceste covenence se tindrent bien	et si se tenroient bien ce disent a ceste covenence (N)	1
Li moigne qi estoient deciple	il estoit molt grans a desmesure et molt estoit haut.
                Li moine qui estoient deciple (M1 N)	1
peor	grant paour (G1 N)	1
ploroient	prisent a plorer (M1 N)	1
establissoit il et faisoit	establiscoit il autels de crestiens et eglises (N)	1
le feu	le fu partot (N)	1
despire	despire toudis (N)	1
