Nb de leçons divergente entre l'édition et témoin :872		
Nb de leçons en commun avec C2 :120		
Nb de lieux variants en commun avec C2 :141		
Nb de leçons en commun avec C3 :72		
Nb de lieux variants en commun avec C3 :81		
Nb de leçons en commun avec D :306		
Nb de lieux variants en commun avec D :340		
Nb de leçons en commun avec G1 :195		
Nb de lieux variants en commun avec G1 :308		
Nb de leçons en commun avec M1 :145		
Nb de lieux variants en commun avec M1 :241		
		
Nb de leçons en commun avec N :163		
Nb de lieux variants en commun avec N :279		
		
ajout		
74		
Pourcentage : 8.486238532110093		
Nb de leçons en commun avec C2 :9		
Nb de lieux variants en commun avec C2 :12		
		
Nb de leçons en commun avec C3 :5		
Nb de lieux variants en commun avec C3 :5		
		
Nb de leçons en commun avec D :29		
Nb de lieux variants en commun avec D :35		
		
Nb de leçons en commun avec G1 :10		
Nb de lieux variants en commun avec G1 :26		
		
Nb de leçons en commun avec M1 :3		
Nb de lieux variants en commun avec M1 :13		
		
Nb de leçons en commun avec N :5		
Nb de lieux variants en commun avec N :15		
		
Lemme 	leçon	
qant	et qant (C2 C3 D E2 G1 M1 N)	2
savoir	savoir oïr (E2)	1
feront	feront il (E2)	1
ne humilité	ne debonnereté ne humilité (E2)	1
a	en a (E2)	1
et pris	et pris en tele maniere (E2)	1
ne misericorde	ne nule misericorde (D E2 G1)	1
donee	donné au povre home (E2)	1
dite	oïe et dite (E2)	1
les	les soes (E2)	1
se trestretrest 	se trest li seinz hom (D E2)	1
proia	proia il (C3 E2 G1 M1)	1
a sa mere	a son pere et a sa mere (E2)	1
en	en une cité en (D E2)	1
ensivoient	tenoient et ensivoient (D E2)	1
de seint Martin li premerainspremiers miracles	le premier miracle que Diex fist pour saint Martin (E2)	1
fist il	fist il fere (E2)	1
mout	molt forment (C2 D E2)	1
li	toz les (C2 D E2)	1
revint	revint au lieu (E2)	1
avint	avint il (C2 C3 D E2)	1
trenchier	a trenchier (D E2)	1
mostres	nos mostres (D E2)	1
lor esperance perdue	leur force perdue et leur esperance (D E2)	1
ses bones exemples	bone creance et par ses exemples (E2)	1
debrisa	le debrisa (D E2)	1
mist	se mist (C2 C3 E2)	1
ferir	ferir a descouvert (E2)	1
foi	la foi (E2)	1
demenee	si demenee (E2)	1
a terre	a genoullons sus terre (E2)	1
Lors	Et lors (E2)	1
ne	il ne (D E2)	1
torblee	molt troublee (E2)	1
fille	pucele a fille (E2)	1
ensamble o	ensemble o lui (E2)	1
nule	ne de nulle (E2)	1
comandast	li conmandast (D E2 G1 M1 N)	1
et grant feste fere	et grant joie fere et grant feste (D E2)	1
seüst	seüst il (C2 C3 D E2 G1)	1
par ses aguaiz	par ses engins ne pas ses agués (E2)	1
demostrer et fere	demener et si granz demonstrer et fere (E2)	1
volt	li volt (D E2 N)	1
le blasmoit	blasmoit molt son afere (E2)	1
nostre Signor	nostre Seigneur Jhesu Crist (E2)	1
tres	molt tres (E2)	1
